"","699
005","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","699
008","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","699
010","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"LEGAL ST
535","Dept. Total","307","3.107","22.1","22.1","28.0","14.3","8.1","1.6","1.0","",".","",".",".","",".","1.6","0.7",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","2.893","11.9","14.3","40.5","16.7","11.9","4.8",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","67","2.932","14.9","19.4","32.8","17.9","10.4","1.5","3.0","",".","",".",".","",".",".",".",".",".","."
"Junior","","95","3.141","23.2","17.9","33.7","17.9","6.3","1.1",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","98","3.321","28.6","32.7","13.3","8.2","7.1","1.0","1.0","",".","",".",".","",".","5.1","2.0",".","1.0","."
"Undergraduates","","302","3.099","21.5","22.5","27.8","14.6","8.3","1.7","1.0","",".","",".",".","",".","1.7","0.7",".","0.3","."
"Special","","4","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","307","3.107","22.1","22.1","28.0","14.3","8.1","1.6","1.0","",".","",".",".","",".","1.6","0.7",".","0.3","."
