"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","","39","3.803","71.8","17.9","5.1",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","","69","2.574","7.2","11.6","20.3","34.8","13.0","10.1","1.4","1.4",".",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230
001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","58","3.328","20.7","46.6","24.1","5.2",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"","321
001","","12","3.595","66.7","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","6","3.083","50.0","16.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","321
003","","13","3.444","53.8","15.4",".","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","321
004","","17","3.238","29.4","29.4","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","006
321","","13","3.352","69.2","7.7",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","007
321","","14","3.674","64.3","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","","75","3.419","54.7","14.7","10.7","8.0","8.0","2.7","1.3",".",".",".",".",".",".",".",".","."
"","323
003","","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","004
323","","14","3.542","42.9","14.3","21.4","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","","27","3.540","48.1","14.8","22.2","3.7","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"First Semester Swahili","331
001","","24","3.814","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem-Lang-South Africa","337
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","","18","3.588","61.1","5.6","16.7","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"First Semester Yoruba","371
001","","6","3.896","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445
001","","6","3.250","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Oral Tradition&Written Word","471
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Sem, Lang of S Africa","493
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","21","3.783","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linguistics-Morphlgy&Syntax","503
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Africn Lang:Thry&Prac","575
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
001","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","669
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
006","","8","3.438","50.0",".","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.528","40.9","9.1","27.3","4.5",".",".",".","4.5",".",".",".",".","13.6",".",".","."
"Directed Study","699
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","9","",".",".",".",".",".",".",".","77.8","11.1",".",".","11.1",".",".",".","."
