"Indep Rdg & Rsch-4th Yr Med","910
007","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","922
007","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","922
041","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL
480","Dept. Total","","17","3.925","88.2","",".","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","5.9","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","4.000","80.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","20.0","."
"Undergraduates","","","9","4.000","88.9","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","11.1","."
"Special","","","3","3.400","66.7","",".","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","4","4.000","100.0","",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","17","3.925","88.2","",".","5.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","5.9","."
