"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","79","2.823","27.8","13.9","13.9","16.5","17.7","3.8","6.3",".",".",".",".",".",".",".",".","."
"","002
224","82","2.920","32.9","6.1","15.9","17.1","20.7","3.7","2.4",".",".",".",".",".",".","1.2",".","."
"Intro Stats for Engineers","Course Total","161","2.872","30.4","9.9","14.9","16.8","19.3","3.7","4.3",".",".",".",".",".",".","0.6",".","."
"","001
301","125","2.824","42.4","4.0","23.2","5.6","4.0","7.2","13.6",".",".",".",".",".",".",".",".","."
"","301
003","129","2.771","26.4","19.4","10.9","12.4","16.3","7.8","7.0",".",".",".",".",".",".",".",".","."
"","301
004","79","2.827","26.6","5.1","22.8","21.5","15.2","2.5","5.1","1.3",".",".",".",".",".",".",".","."
"","005
301","136","3.193","34.6","14.7","29.4",".","18.4","2.2",".",".",".",".",".",".","0.7",".",".","."
"","006
301","90","3.039","30.0","13.3","23.3","16.7","11.1","3.3","2.2",".",".",".",".",".",".",".",".","."
"","008
301","233","3.045","23.2","17.2","28.8","14.2","12.4","2.6","0.9",".",".",".",".",".","0.9",".",".","."
"Intro-Statistical Methods","Course Total","792","2.968","29.8","13.4","23.9","11.1","12.9","4.2","4.3","0.1",".",".",".",".","0.4",".",".","."
"Acc Intro to Stat Meth","302
001","45","3.100","26.7","35.6","13.3","6.7","8.9","4.4","4.4",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","34","3.167","35.3","26.5","5.9","17.6","2.9","5.9","2.9",".",".",".",".",".",".",".","2.9","."
"Intro to Prob & Math Stat II","310
001","26","3.038","23.1","23.1","23.1","15.4","11.5",".","3.8",".",".",".",".",".",".",".",".","."
"","311
001","47","3.489","44.7","21.3","23.4","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"","002
311","46","3.120","23.9","19.6","32.6","4.3","19.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","93","3.306","34.4","20.4","28.0","6.5","10.8",".",".",".",".",".",".",".",".",".",".","."
"","312
001","39","3.000","20.5","23.1","38.5","2.6","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","002
312","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","62","3.282","35.5","25.8","27.4","1.6","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","001
324","92","3.467","28.3","42.4","27.2","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"","327
001","24","3.500","70.8","4.2","8.3","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","327
002","25","3.760","84.0","4.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","003
327","31","3.823","90.3","3.2",".",".","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","80","3.706","82.5","3.8","3.8","2.5","3.8","2.5","1.3",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","34","3.456","44.1","14.7","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","93","3.145","25.8","19.4","29.0","14.0","10.8",".","1.1",".",".",".",".",".",".",".",".","."
"","371
002","136","3.059","31.6","19.9","16.9","11.0","12.5","6.6","1.5",".",".",".",".",".",".",".",".","."
"","003
371","92","3.407","40.2","15.2","30.4","10.9","2.2",".",".",".",".",".",".",".","1.1",".",".","."
"","371
004","141","3.170","37.6","19.1","15.6","10.6","9.9","6.4","0.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","462","3.179","34.0","18.6","21.6","11.5","9.3","3.9","0.9",".",".",".",".",".","0.2",".",".","."
"Intro-Survey Theory & Meths","411
001","18","3.344","33.3","16.7","27.8",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Appl Categorical Data Anal","421
001","28","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","31","2.855","22.6","19.4","19.4","9.7","19.4","6.5","3.2",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in Stats","479
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostat Mthd-Pub Hlth","511
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","17","3.471","23.5","52.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","54","3.490","25.9","40.7","27.8",".",".",".",".","3.7",".",".",".",".",".","1.9",".","."
"","571
002","60","3.533","35.0","46.7","16.7",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","114","3.514","30.7","43.9","21.9",".",".",".","0.9","1.8",".",".",".",".",".","0.9",".","."
"Mathematical Statistics I","001
609","27","3.327","33.3","25.9","25.9","7.4",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 311 of 403",""
