"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","43","",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".",".",".","."
"COM ARTS
250","Dept. Total","3636","3.205","18.8","31.3","27.2","10.8","4.8","1.2","1.0","3.4","0.1","0.5",".","0.1","0.8","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","912","3.223","15.8","39.7","27.2","10.7","4.5","0.8","0.9",".",".",".",".",".","0.4",".",".","."
"Sophomore","","643","3.101","15.9","28.9","30.9","13.4","7.2","1.9","1.2",".","0.2","0.2",".",".","0.3",".",".","."
"Junior","","948","3.136","15.8","32.2","30.2","12.2","5.1","1.6","1.6",".",".","0.4",".",".","0.6","0.1",".","0.2"
"Senior","","897","3.268","23.6","30.0","28.0","10.3","4.1","1.0","0.6","0.1",".","1.3",".","0.2","0.8",".",".","."
"Undergraduates","","3400","3.187","17.9","33.0","28.9","11.5","5.1","1.3","1.1","0.0","0.0","0.5",".","0.1","0.6","0.0",".","0.1"
"Special","","32","3.220","9.4","15.6","15.6","6.3","3.1",".",".","37.5",".","3.1",".",".","3.1","6.3",".","."
"Graduate","","204","3.942","35.3","4.9",".",".",".",".",".","54.4","0.5",".",".",".","4.9",".",".","."
"","Dept. Total","3636","3.205","18.8","31.3","27.2","10.8","4.8","1.2","1.0","3.4","0.1","0.5",".","0.1","0.8","0.1",".","0.1"
