"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"632
Intro-Stochastic Processes","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","70.0",".",".","30.0","."
"692","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","002","","9","3.722","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"692","003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Statistics","Course Total","","42","3.929","92.9","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.962","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"709
Mathematical Statistics","001","","20","3.600","55.0","15.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Optimization I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"733
Theory of Probability I","001","","15","3.714","60.0","13.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"768
Stat Mthds-Medical Image Anlys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803
Experimental Design I","001","","21","4.000","90.5",".",".",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"811
Sample Survey Theory&Method","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Statistcl Model Buildng&Learng","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Thry&Appl-Regress&AnalVar I","001","","31","3.548","38.7","35.5","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 312 of 403",""
