"","999
071","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
073","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
077","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
081","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","52","3.935","65.4","5.8","1.9",".",".",".",".","13.5","",".",".","",".","7.7","5.8",".",".","."
"HISTORY
448","Dept. Total","3197","3.369","29.5","28.4","20.6","6.4","2.8","0.7","0.7","6.1","",".","0.7","",".","1.1","1.4","0.8","0.7","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","410","3.321","27.8","32.4","25.9","8.0","4.1","1.0","0.2",".","",".",".","",".",".",".","0.5",".","."
"Sophomore","","643","3.322","24.3","37.6","25.3","8.2","2.8","0.9","0.5",".","",".",".","",".",".","0.2",".",".","0.2"
"Junior","","695","3.325","27.8","31.1","27.5","7.9","2.7","0.6","0.9",".","",".",".","",".",".","1.0","0.1","0.4","."
"Senior","","972","3.383","36.5","28.4","19.5","6.5","3.7","0.9","1.1","0.6","",".","0.1","",".","1.0","1.2",".","0.2","0.1"
"Undergraduates","","2720","3.343","30.1","31.9","23.9","7.5","3.3","0.8","0.8","0.2","",".","0.0","",".","0.4","0.7","0.1","0.2","0.1"
"Special","","189","3.595","7.9","6.9","3.2","0.5",".",".",".","59.3","",".",".","",".",".","0.5","12.2","9.5","."
"Graduate","","286","3.879","38.1","9.8","1.0",".",".",".",".","26.9","",".","7.3","",".","8.7","8.0",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3197","3.369","29.5","28.4","20.6","6.4","2.8","0.7","0.7","6.1","",".","0.7","",".","1.1","1.4","0.8","0.7","0.1"
