"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ- A A E","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Intro to Agr & Applied Econ","001","","97","3.619","52.6","22.7","20.6","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"246
Climate Change Econ & Policy","001","","22","3.286","9.1","36.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"299","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"306
The Real Estate Process","001","","23","2.652","8.7","17.4","26.1","17.4","17.4","13.0",".",".",".",".",".",".",".",".",".","."
"319
The Internatl Ag Economy","001","","20","3.175","30.0","20.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","49","3.020","28.6","16.3","26.5","8.2","12.2","6.1","2.0",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","14","3.464","57.1","21.4","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","32","2.893","31.3","12.5","21.9",".","25.0","9.4",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","18","3.111","27.8","11.1","33.3","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"375","001","","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"375","002","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","3.447","36.8","31.6","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"399","061","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"419
Agricultural Finance","001","","48","3.563","47.9","31.3","8.3","10.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"477
Agri & Econ Development-Africa","001","","7","3.071","57.1","14.3",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"526
Quant Mthds-Ag & Appl Econ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","16","3.233","25.0","18.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"636
Applied Econometric Anal I","001","","13","3.417","53.8","15.4","15.4",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"671
Energy Economics","001","","12","3.636","58.3","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"731
Macroeconomics-Ag Developmt","001","","11","0.000",".",".",".",".",".",".","9.1",".",".",".",".",".","90.9",".",".","."
"762
Environmental Economics","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"799","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 1 of 403"
