"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","147","3.218","24.5","23.1","32.0","10.9","2.7","3.4",".","2.7",".",".",".",".","0.7",".",".","."
"Real Estate Law","312
001","45","3.289","31.1","6.7","53.3","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
003","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","410
001","35","3.314","40.0","14.3","17.1","25.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","410
002","25","3.458","28.0","36.0","28.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","60","3.373","35.0","23.3","21.7","16.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Valuation of Real Estate","001
415","46","3.311","23.9","30.4","34.8","4.3","2.2","2.2",".",".",".",".",".",".","2.2",".",".","."
"","420
001","29","3.534","34.5","41.4","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","7","3.214","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","36","3.472","36.1","41.7","16.7","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","23","3.630","73.9","4.3","13.0",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","710
001","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","22","3.614","31.8","59.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
765","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","42","3.964","95.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","522","3.438","40.2","25.1","23.9","6.1","1.5","1.3","0.2","1.1",".",".",".",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Sophomore","","16","3.281","25.0","18.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","126","3.181","24.6","19.0","38.1","10.3","1.6","4.8",".","0.8",".",".",".",".","0.8",".",".","."
"Senior","","198","3.429","39.4","23.2","25.8","7.1","2.5","0.5","0.5","0.5",".",".",".",".","0.5",".",".","."
"Undergraduates","","340","3.330","33.2","21.5","31.2","8.5","2.1","2.1","0.3","0.6",".",".",".",".","0.6",".",".","."
"Special","","22","3.316","22.7","31.8","13.6","13.6","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"Graduate","","154","3.713","59.1","30.5","9.7",".",".",".",".","0.6",".",".",".",".",".",".",".","."
"Prof Yr 3","","6","3.556","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","6","3.556","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","522","3.438","40.2","25.1","23.9","6.1","1.5","1.3","0.2","1.1",".",".",".",".","0.4",".",".","."
