"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","Course Total","84","2.839","11.9","19.0","29.8","20.2","13.1","3.6","2.4",".",".",".",".",".",".",".",".","."
"Topics in Calculus I","001
275","21","3.357","33.3","38.1","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro to Prob & Math Stat I","309
001","12","3.400","16.7","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","16.7","."
"Intro to Prob & Math Stat II","310
001","8","2.688",".","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","319
001","130","3.050","22.3","22.3","30.0","9.2","9.2","3.8","2.3",".",".",".",".",".","0.8",".",".","."
"","319
002","149","2.956","20.8","27.5","23.5","9.4","7.4","7.4","4.0",".",".",".",".",".",".",".",".","."
"","319
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","281","3.007","22.1","24.9","26.3","9.3","8.2","5.7","3.2",".",".",".",".",".","0.4",".",".","."
"","001
320","83","2.663","16.9","7.2","26.5","4.8","39.8","2.4","2.4",".",".",".",".",".",".",".",".","."
"","002
320","183","2.838","21.3","7.7","38.8","6.0","16.4","6.0","3.3","0.5",".",".",".",".",".",".",".","."
"","320
003","54","2.769","14.8","13.0","31.5","14.8","16.7","7.4","1.9",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","320","2.781","19.1","8.4","34.4","7.2","22.5","5.3","2.8","0.3",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","321
001","56","2.300","7.1","7.1","19.6","16.1","26.8","19.6","1.8",".",".",".",".",".",".",".",".","1.8"
"Appl Mathematical Analysis","322
001","23","3.409","43.5","26.1","17.4",".","4.3",".","4.3",".",".",".",".",".","4.3",".",".","."
"Intro:Prob&Markov Chain Mod","331
001","14","3.214","42.9","7.1","28.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","340
001","72","2.479","12.5","6.9","36.1","5.6","20.8","9.7","8.3",".",".",".",".",".",".",".",".","."
"","340
002","78","2.125","7.7","5.1","19.2","6.4","32.1","20.5","6.4",".",".",".",".",".","2.6",".",".","."
"","340
010","6","2.333","16.7",".","16.7","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","156","2.299","10.3","5.8","26.9","7.1","26.3","14.7","7.7",".",".",".",".",".","1.3",".",".","."
"Linear Algebra","341
001","45","3.364","35.6","31.1","20.0","4.4","2.2","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"","375
001","31","2.984","19.4","29.0","16.1","19.4","6.5","9.7",".",".",".",".",".",".",".",".",".","."
"","002
375","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","Course Total","42","3.071","21.4","28.6","19.0","19.0","4.8","7.1",".",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","39","3.449","41.0","38.5","7.7","5.1","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421
002","44","3.261","29.5","27.3","22.7","15.9","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","431
001","39","2.449","28.2","2.6","20.5","5.1","12.8","23.1","7.7",".",".",".",".",".",".",".",".","."
"","431
002","37","2.986","37.8","13.5","16.2",".","24.3","2.7","5.4",".",".",".",".",".",".",".",".","."
"","431
003","42","2.690","16.7","7.1","31.0","7.1","28.6","9.5",".",".",".",".",".",".",".",".",".","."
"","431
004","34","2.647","14.7","8.8","35.3","8.8","17.6","11.8","2.9",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","152","2.691","24.3","7.9","25.7","5.3","21.1","11.8","3.9",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","20","3.025","30.0","15.0","25.0","20.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","33","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","001
461","31","3.190","32.3","16.1","22.6","12.9","3.2","6.5",".","3.2","3.2",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","29","2.897","20.7","20.7","24.1","13.8","6.9","13.8",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","10","2.700","20.0","30.0","20.0","10.0",".",".","20.0",".",".",".",".",".",".",".",".","."
"","521
001","39","3.000","30.8","10.3","23.1","10.3","20.5","5.1",".",".",".",".",".",".",".",".",".","."
"","521
003","37","3.014","32.4","16.2","21.6","8.1","10.8","8.1","2.7",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","76","3.007","31.6","13.2","22.4","9.2","15.8","6.6","1.3",".",".",".",".",".",".",".",".","."
"Analysis II","001
522","27","3.538","59.3","11.1","11.1","3.7","11.1",".",".",".",".",".",".",".","3.7",".",".","."
