"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","84","3.179","14.3","22.6","50.0","10.7","2.4",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","153
001","29","3.414","37.9","31.0","20.7","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","210
001","13","3.077","46.2","15.4","23.1",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"","210
002","11","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","Course Total","24","3.333","54.2","8.3","29.2",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Interior Design I","222
001","25","3.680","44.0","48.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","27","3.630","48.1","29.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225
001","13","3.462","46.2","30.8","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","001
229","16","3.767","56.3","31.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","001
253","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cloth to Clothing","319
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","16","2.594","12.5",".","31.3","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","12","3.375","25.0","41.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
020","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
021","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
023","34","3.824","73.5","17.6","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
024","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","501
025","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
026","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","027
501","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
028","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","029
501","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","143","3.804","69.9","22.4","6.3","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","19","3.184","15.8","36.8","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","601
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","8","3.650","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623
001","18","3.694","50.0","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624
001","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taste","642
001","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","691
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 147 of 403",""
