"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","27","3.952","92.6",".","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"492
Mech Engr Projects II","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"508","001","","12","3.591","41.7","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".","8.3","."
"508","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","Course Total","","13","3.542","38.5","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","7.7","."
"510
Facilities Planning","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","6","2.667",".",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrk","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","29","3.759","55.2","41.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","26","3.000","19.2","15.4","26.9","23.1","7.7","3.8",".","3.8",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","13","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","20","3.275","15.0","45.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","13","3.500","30.8","38.5","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","001","","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","001","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","17","3.688","35.3","58.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"601","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","18","3.472","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","28","3.286","14.3","32.1","50.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"601","006","","12","3.042","25.0","8.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","80","3.367","22.5","37.5","31.3","5.0","2.5",".",".","1.3",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"643
Performnc Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","3.864","57.1","14.3",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"706
Plates,Shells&Pressr Vessel","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 134 of 403",""
