"L&S","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","149","3.732","70.5","16.1","8.1","2.7","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"Information Literacies Online","301
001","20","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Scandinavian Children's Lit","319
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","41","3.950","87.8","9.8",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","002
450","35","3.809","62.9","31.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","2.9"
"","450
003","27","3.537","40.7","33.3","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","103","3.792","67.0","23.3","5.8","1.9",".",".",".",".",".",".",".",".","1.0",".",".","1.0"
"Online Searching for Info Pro","451
001","38","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","28","3.821","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
551","27","3.463","22.2","59.3","7.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","55","3.645","45.5","43.6","5.5","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
622","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","Course Total","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
635","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","635
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","639
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","Course Total","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","001
654","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","24","3.771","58.3","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","722
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","19","3.658","73.7","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Corporate&Special Info Serv","732
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","734
001","26","3.760","53.8","38.5","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","751
001","10","3.700","90.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","751
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 248 of 403",""
