"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","115","3.383","37.4","14.8","39.1","6.1","1.7","0.9",".",".",".",".",".",".",".",".",".","."
"","302
001","24","3.313","20.8","20.8","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","24","3.396","37.5","12.5","45.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","302
003","23","3.239","21.7","13.0","60.9",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","302
004","17","3.147","17.6","11.8","58.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","302
005","21","3.143","23.8","4.8","57.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","109","3.257","24.8","12.8","56.0","1.8","4.6",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","93","3.194","25.8","18.3","39.8","3.2","11.8","1.1",".",".",".",".",".",".",".",".",".","."
"","324
001","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","370","3.328","36.8","14.9","39.7","3.2","4.9","0.5",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","79","3.135","19.0","8.9","58.2","8.9","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Junior","","179","3.373","36.9","17.9","38.0","2.2","4.5","0.6",".",".",".",".",".",".",".",".",".","."
"Senior","","110","3.406","49.1","14.5","30.0","0.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","368","3.330","36.7","14.9","39.9","3.3","4.6","0.5",".",".",".",".",".",".",".",".",".","."
"Special","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","370","3.328","36.8","14.9","39.7","3.2","4.9","0.5",".",".",".",".",".",".",".",".",".","."
