"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","199","2.520","18.6","5.5","28.6","10.1","16.6","14.1","6.5",".",".",".",".",".",".",".",".","."
"201","002","","166","2.587","15.7","6.6","31.3","8.4","25.9","6.0","6.0",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","365","2.551","17.3","6.0","29.9","9.3","20.8","10.4","6.3",".",".",".",".",".",".",".",".","."
"202
Dynamics","001","","98","2.980","11.2","22.4","32.7","24.5","6.1","3.1",".",".",".",".",".",".",".",".",".","."
"291
Projects in EMA","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","97","2.644","12.4","6.2","27.8","23.7","23.7","3.1","3.1",".",".",".",".",".",".",".",".","."
"307","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","9","2.889","22.2",".","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"307","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","8","3.000",".","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"307","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","7","2.929","14.3","14.3","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"307","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","68","3.103","17.6","19.1","39.7","13.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","22","3.523","40.9","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","19","3.211","36.8","10.5","31.6",".","21.1",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","35","2.500","14.3","11.4","28.6",".","25.7","8.6","8.6","2.9",".",".",".",".",".",".",".","."
"508
Composite Materials","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","32","2.781","18.8",".","34.4","18.8","25.0","3.1",".",".",".",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","27","2.667","14.8","18.5","25.9","3.7","22.2","11.1","3.7",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","20","3.225","30.0","30.0","25.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"599
Independent Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics: Engr Mech","001","","22","2.881","9.1","27.3","18.2","31.8","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","25","3.587","48.0","12.0","32.0",".",".",".",".","4.0",".",".",".",".",".",".","4.0","."
"630
Viscoelastic Solids","001","","20","3.825","80.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"706
Plates,Shells&Pressr Vessel","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"742
Thry & Applicatns-Adv Dynamics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"759
HPC for Apps in Engr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 121 of 403",""
