"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"Civs of India-Modern Period","252","001","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","45","3.200","22.2","26.7","26.7","17.8","6.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.475","25.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Study of Genocide","318","001","144","3.370","31.9","33.3","19.4","7.6","4.2","2.1",".","0.7",".",".",".",".","0.7",".",".","."
"Terrorism","319","001","57","2.891","15.8","24.6","14.0","17.5","19.3","5.3",".",".",".",".",".",".",".",".","3.5","."
"Eur Union:Politics&Pol Econ","338","001","87","2.901","9.2","24.1","33.3","20.7","5.7","2.3","3.4","1.1",".",".",".",".",".",".",".","."
"China in World Politics","346","001","63","3.426","34.9","41.3","12.7","3.2",".","1.6","3.2","1.6",".",".",".",".",".",".","1.6","."
"African Intl Relations","362","001","36","3.086","16.7","30.6","33.3","8.3","2.8",".","5.6","2.8",".",".",".",".",".",".",".","."
"Theories-Internationl Security","367","001","20","3.600","55.0","15.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Conflict Resolution","378","001","20","3.525","50.0","25.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","400","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","400","003","20","3.700","55.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","37","3.754","64.9","24.3","2.7","2.7","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"","401","001","24","3.522","33.3","33.3","29.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","401","002","17","3.500","47.1","11.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","36","3.375","44.4","25.0","13.9","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","401","005","57","3.298","21.1","38.6","22.8","14.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","134","3.383","32.8","30.6","23.1","8.2","3.0","1.5",".","0.7",".",".",".",".",".",".",".","."
"The American Presidency","408","001","96","3.311","25.0","19.8","45.8","8.3",".",".",".",".",".",".",".",".","1.0",".",".","."
"Constitutional Law","411","001","62","3.540","50.0","27.4","12.9","6.5","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"American Judicial System","417","001","45","3.378","28.9","35.6","24.4","8.9",".","2.2",".",".",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","54","3.356","14.8","53.7","16.7","7.4","3.7",".",".","1.9",".",".",".",".","1.9",".",".","."
"Legislative Internship","427","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmmnty Power&Grass Roots Pol","428","001","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","462","001","12","3.208","58.3","8.3","16.7",".",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"The First Amendment","470","001","75","3.115","16.0","28.0","29.3","13.3","12.0",".",".","1.3",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 279 of 403",""
