"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","37","1.361","18.9",".","18.9",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"Legal Sources","602
003","14","0.714","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","711
004","24","1.708","16.7",".","29.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","714
001","33","1.364","9.1",".","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","714
002","32","0.750",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
003","34","1.353","8.8",".","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","99","1.162","6.1",".","27.3",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"","723
004","17","0.706",".",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","16","0.938",".",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","16","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
723","16","1.188","6.3",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","65","1.077","1.5",".","33.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","726
002","52","1.558","9.6",".","28.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","63","1.527","14.3",".","22.2",".","3.2","3.2","3.2","12.7",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","25","1.636","16.0",".","24.0",".","4.0",".",".","12.0",".",".",".",".",".",".",".","."
"Religion and the Constitution","739
001","16","1.308","12.5",".","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","740
001","9","1.429","11.1",".","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","003
740","71","1.588","11.3",".","33.8",".","2.8",".",".","2.8",".",".",".",".",".",".","1.4","."
"Constitutional Law II","Course Total","80","1.573","11.3",".","32.5",".","2.5",".",".","5.0",".",".",".",".",".",".","1.3","."
"Bus Orgnztions II:Publ Corp","001
741","44","1.386","15.9",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","743
002","13","1.231","15.4",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Legislation","746
001","26","1.640","11.5",".","34.6",".","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"Copyright Law","752
001","18","0.944","11.1",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","27","1.222","11.1",".","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760
001","12","1.333","8.3",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
771","79","0.930","5.1",".","16.5",".","6.3","1.3",".","10.1",".",".",".",".",".",".",".","."
"","771
002","65","0.898","3.1",".","21.5",".","1.5","1.5",".","9.2",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","144","0.915","4.2",".","18.8",".","4.2","1.4",".","9.7",".",".",".",".",".",".",".","."
"","801
001","81","1.344","13.6",".","12.3",".","4.9",".",".","24.7",".",".",".",".",".",".",".","."
"","801
002","92","1.514","9.8",".","23.9",".","3.3","1.1","1.1","21.7",".",".",".",".",".",".",".","."
"Evidence","Course Total","173","1.436","11.6",".","18.5",".","4.0","0.6","0.6","23.1",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","66","1.426","9.1",".","25.8",".","1.5",".",".","18.2",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
002","8","0.750","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Appellate Advocacy II","815
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Organizations I","817
001","56","1.410","10.7","1.8","23.2",".","3.6",".",".","10.7",".",".",".",".",".",".",".","."
"Comparative Law","818
001","14","1.143","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","23","1.143","8.7",".","17.4",".","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professnl Responsibilities","002
850","49","1.152","8.2",".","22.4",".","4.1",".",".","6.1",".",".",".",".",".",".",".","."
"","852
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
002","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
