"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","119","2.958","16.8","18.5","28.6","15.1","17.6","2.5",".","0.8",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","46","3.815","73.9","17.4","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","37","3.284","35.1","13.5","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"","321","002","16","3.156","31.3","12.5","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","321","003","21","3.381","38.1","14.3","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","37","3.284","35.1","13.5","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","54","3.074","27.8","16.7","22.2","20.4","7.4","5.6",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","64","3.859","79.7","15.6","3.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","42","3.524","40.5","26.2","31.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","39","3.846","71.8","25.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","28","3.232","21.4","32.1","25.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","32","3.359","25.0","43.8","12.5","15.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"","515","001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","","Course Total","80","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","33","3.742","66.7","18.2","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","41","3.878","78.0","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","14","3.607","57.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","41","3.268","34.1","14.6","31.7","9.8","9.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","36","3.889","86.1","8.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","002","39","3.679","48.7","38.5","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","5","***","","","","","","","","","",".",".",".",".",".",".","."
