"","990
069","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
070","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
089","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","36","",".",".",".",".",".","",".","",".","86.1",".",".",".","13.9","",".",".",".","."
"M&ENVTOX
362","Dept. Total","132","3.448","17.4","13.6","12.9","0.8","0.8","",".","",".","50.0",".",".",".","3.8","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","3.600","20.0","80.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","19","3.482","36.8","31.6","21.1","5.3",".","",".","",".",".",".",".",".",".","",".",".","5.3","."
"Undergraduates","","24","3.500","33.3","41.7","16.7","4.2",".","",".","",".",".",".",".",".",".","",".",".","4.2","."
"Special","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","107","3.440","14.0","7.5","11.2",".","0.9","",".","",".","61.7",".",".",".","4.7","",".",".",".","."
"","Dept. Total","132","3.448","17.4","13.6","12.9","0.8","0.8","",".","",".","50.0",".",".",".","3.8","",".",".","0.8","."
