"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"The Vietnam Wars","319","001","103","3.363","30.1","24.3","24.3","6.8","3.9","1.0",".",".",".",".",".",".","1.0","8.7",".","."
"Sci Revol:Copernicus-Newton","323","001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First World War","350","001","46","3.486","19.6","43.5","13.0","4.3",".",".",".","17.4",".",".",".",".",".","2.2",".","."
"The Second World War","357","001","78","3.566","35.9","35.9","16.7","1.3",".","1.3",".","7.7",".",".",".",".","1.3",".",".","."
"Soc-Shakespeares England","367","001","50","3.082","12.0","30.0","20.0","12.0","6.0","2.0","2.0","14.0",".",".",".",".","2.0",".",".","."
"Islam in Iran","379","002","23","3.474","17.4","43.5","21.7",".",".",".",".",".",".",".",".",".","4.3","13.0",".","."
"The US Since 1945","398","001","140","3.048","12.9","16.4","47.1","12.1","6.4",".","1.4","0.7",".",".",".",".",".",".","2.9","."
"Immigratn&Assimlatn-Am Hist","403","001","73","3.681","57.5","27.4","9.6","2.7",".",".","1.4","1.4",".",".",".",".",".",".",".","."
"History-American Education","412","001","38","3.041","15.8","31.6","13.2","23.7","10.5","2.6",".",".",".",".",".",".","2.6",".",".","."
"History of Russia","417","001","47","3.412","17.0","36.2","23.4","4.3",".",".",".","14.9",".",".",".",".","4.3",".",".","."
"History of Soviet Russia","419","002","53","3.451","15.1","35.8","18.9","1.9",".",".",".","24.5",".",".",".",".","3.8",".",".","."
"US Military History to 1902","427","001","47","3.239","17.0","29.8","23.4","10.6","2.1",".","2.1",".",".",".",".",".",".",".","12.8","2.1"
"Col,Natn&Minrty:PuertoRican","435","001","6","3.600","66.7",".",".",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"Hist Southeast Asia to 1800","457","001","20","3.370","40.0","25.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","110","3.360","21.8","24.5","27.3","4.5","2.7",".",".","18.2",".",".",".",".","0.9",".",".","."
"The American West to1850","461","001","103","3.222","13.6","35.0","34.0","11.7","1.9","1.0",".","1.0",".",".",".",".",".","1.0",".","1.0"
"Topics in S Asian History","463","001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Soc Hist 1830-1914","474","001","31","3.277","35.5","25.8","12.9","12.9","3.2",".","3.2","3.2",".",".",".",".","3.2",".",".","."
"","500","002","13","3.500","30.8","53.8",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","500","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","18","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","15","3.500","26.7","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7","."
"","600","005","16","3.344","43.8","6.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600","006","16","3.469","37.5","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600","007","16","3.429","12.5","56.3","12.5","6.3",".",".",".",".",".",".",".",".","12.5",".",".","."
"","600","008","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","16","3.100","37.5","12.5","18.8","6.3","12.5",".","6.3",".",".",".",".",".","6.3",".",".","."
"","600","011","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","145","3.564","51.0","24.1","13.8","4.1","2.8","0.7","0.7",".",".",".",".",".","2.1",".","0.7","."
"Hist-Civ Rghts Movmnt in US","628","001","30","3.172","26.7","43.3","6.7","10.0",".","3.3","6.7","3.3",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 224 of 403",""
