"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"","322
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Learning Design","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Art in Elementary Education","323
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning Through Design","557
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","52","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
