"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"The Field of Social Work","Course Total","","93","3.764","54.8","37.6","2.2","1.1",".",".",".",".",".",".",".",".","4.3",".",".","."
"","606
001","","33","3.742","54.5","39.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
606","","11","3.636","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","","44","3.716","47.7","47.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","102","3.446","17.6","56.9","21.6","2.0","1.0",".",".",".",".",".",".",".",".","1.0",".","."
"Soc Work & Devel Disabilities","644
001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","","26","3.538","42.3","42.3","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"","003
646","","22","3.591","40.9","36.4","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
004","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","","61","3.601","45.9","39.3","11.5","1.6",".","1.6",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","001
672","","18","3.563","38.9","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".","11.1","."
"Topics-Contemp Soc Welfare","675
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","001
679","","26","3.655","42.3","23.1","15.4",".",".",".",".",".",".",".",".",".","11.5",".","7.7","."
"","699
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.727","57.1",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".","14.3","."
"Human Behavior & Environmnt","001
711","","47","3.478","38.3","38.3","8.5","6.4","2.1",".","2.1",".",".",".",".",".","4.3",".",".","."
"","712
001","","20","3.895","80.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","712
002","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
003","","27","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","712
005","","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
712","","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","90","3.567","41.1","34.4","18.9","4.4",".",".",".",".",".",".",".",".",".","1.1",".","."
"","741
002","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
741","","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","","45","3.744","68.9","17.8","8.9","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","","14","3.393","21.4","50.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","800
001","","14","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","800
003","","9","3.702","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
005","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"","800
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
800","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","800
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
013","","7","3.900","57.1","14.3",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","800
014","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","800
021","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","022
800","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 298 of 403",""
