"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","15","3.467","60.0","6.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","003
100","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.367","26.7","40.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
007","20","3.725","80.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","008
100","15","3.433","13.3","66.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","009
100","15","3.300","33.3","20.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
010","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","199","3.696","65.3","18.6","10.1","4.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","18","3.588","55.6","11.1","22.2",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","212
001","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","212
002","21","3.524","66.7",".","19.0",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","41","3.725","78.0",".","12.2",".","7.3",".",".",".",".",".",".",".","2.4",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","111","3.741","68.5","16.2","12.6","0.9",".",".","0.9",".",".",".",".",".","0.9",".",".","."
"Comm in Life Sci Industries","270
001","18","3.472","16.7","72.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Digital Video Prod","001
314","17","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","001
332","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","36","3.788","61.1","22.2","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Information Radio","360
001","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advertising in Life Sciences","431
001","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","26","3.615","50.0","23.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","21","3.619","57.1","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Comm Research","660
001","12","3.850","58.3","25.0",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
