"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","047","10","3.300","10.0","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100","048","12","3.208","16.7","25.0","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","049","11","3.273","18.2","45.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100","052","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","057","13","3.269",".","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","058","12","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","059","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","12","2.708","33.3","25.0","16.7",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"","100","062","13","3.115","7.7","38.5","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","063","13","3.269","7.7","38.5","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","064","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","738","3.303","18.6","43.6","25.9","7.3","2.8","0.8","0.7",".",".",".",".",".","0.3",".",".","."
"Intro-Digital Media Production","155","001","139","3.460","28.1","48.2","16.5","2.2","2.2","0.7","0.7","0.7",".",".",".",".","0.7",".",".","."
"Intro to Digital Communication","200","001","56","3.340","17.9","39.3","26.8","10.7",".",".",".",".",".",".",".",".","5.4",".",".","."
"Survey of Contemporary Media","250","001","222","2.857","6.8","24.3","33.3","19.4","9.5","3.6","2.3",".",".",".",".",".","0.9",".",".","."
"Communication & Human Behav","260","001","305","2.938","9.5","19.3","34.4","23.6","10.2","0.7","0.7","1.0",".",".",".",".","0.3",".",".","0.3"
"Thry&Pract-Argument&Debate","262","001","142","3.014","12.0","22.5","35.2","18.3","9.2","0.7","0.7",".",".",".",".",".","1.4",".",".","."
"Thry&Pract-Group Discussion","266","001","52","3.087","7.7","32.7","36.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","143","3.007","16.1","25.2","30.8","12.6","10.5","3.5","1.4",".",".",".",".",".",".",".",".","."
"Directed Study","298","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","111","3.250","20.7","33.3","27.9","12.6","3.6",".","0.9",".",".",".",".",".",".","0.9",".","."
"Critical Internet Studies","346","001","99","2.904","2.0","37.4","34.3","14.1","6.1","1.0","5.1",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","49","2.969","12.2","20.4","36.7","22.4","4.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","163","3.088","6.1","36.2","35.0","14.1","5.5","0.6","0.6","1.8",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","163","2.847","11.0","20.9","28.2","24.5","8.0","5.5","1.8",".",".",".",".",".",".",".",".","."
"Film History to 1960","352","001","20","3.176","25.0","25.0","20.0","5.0","5.0",".","5.0","15.0",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","144","3.395","26.4","36.8","29.9","2.8","2.8","0.7",".",".",".",".",".",".","0.7",".",".","."
"Thry&Practice of Persuasion","368","001","113","3.341","30.1","33.6","23.0","4.4","8.0",".","0.9",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","155","3.036","9.7","31.0","34.8","13.5","5.2","1.9","1.9",".","0.6",".",".",".","0.6",".",".","0.6"
"Media and National Identity","448","001","29","3.259","20.7","24.1","51.7",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","20","3.469","35.0","10.0","30.0","5.0",".",".",".","15.0",".",".",".",".","5.0",".",".","."
"Global Media Cultures","458","001","25","3.380","24.0","44.0","20.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"New Media and Society","459","001","24","3.167","4.2","37.5","50.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Independent Cinema","462","001","23","3.326","13.0","52.2","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.536","20.0","60.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","465","002","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.700","45.2","45.2","6.5",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Writing for TV & Film","466","001","15","3.367","20.0","33.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
