"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","54","3.213","25.9","24.1","29.6","11.1","7.4","1.9",".",".",".",".",".",".",".",".",".","."
"302
Medical Microbiology Lab","001","","41","3.650","61.0","12.2","19.5","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"341
Immunology","001","","184","3.478","30.4","43.5","20.7","3.3","1.6","0.5",".",".",".",".",".",".",".",".",".","."
"504","001","","38","3.355","26.3","21.1","50.0","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"504","002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infect Disease-Human Beings","Course Total","","47","3.457","36.2","21.3","40.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","44","3.216","56.8","2.3","18.2",".","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"554
Infect Diseases & Bioterrorism","001","","34","3.500","41.2","32.4","17.6","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"677","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"696
Critical Thinking in M M & I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Current Issues in Microbiology","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 342 of 403",""
