"L&S","","","","","","","","","","","","","","","","","","","","",""
"LANGUAGES & CULTURES OF A Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"LCA
Dept. Total
521","276","3.736","68.8","12.0","6.9","1.8","2.9","0.7","",".","3.3","",".",".","",".","1.4","1.1",".","1.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","46","3.864","84.8","10.9","2.2",".","2.2",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","52","3.785","78.8","9.6","7.7",".","3.8",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","63","3.735","71.4","14.3","4.8","4.8","3.2",".","",".",".","",".",".","",".",".","1.6",".",".","."
"Senior","78","3.584","60.3","14.1","12.8","2.6","3.8","2.6","",".",".","",".",".","",".","1.3","1.3",".","1.3","."
"Undergraduates","239","3.722","72.0","12.6","7.5","2.1","3.3","0.8","",".",".","",".",".","",".","0.4","0.8",".","0.4","."
"Special","6","4.000","33.3",".",".",".",".",".","",".","50.0","",".",".","",".",".",".",".","16.7","."
"Graduate","31","3.881","51.6","9.7","3.2",".",".",".","",".","19.4","",".",".","",".","9.7","3.2",".","3.2","."
"Dept. Total","276","3.736","68.8","12.0","6.9","1.8","2.9","0.7","",".","3.3","",".",".","",".","1.4","1.1",".","1.1","."
