"","EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Education","140","001","","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Education and Public Policy","150","001","","19","3.605","52.6","31.6",".","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200","001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","62","3.661","51.6","32.3","14.5",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","","Course Total","","116","3.772","64.7","26.7","7.8",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335","001","","35","3.794","62.9","28.6","5.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"History-American Education","412","001","","63","3.369","38.1","22.2","19.0","11.1","4.8","1.6",".","1.6",".",".",".",".","1.6",".",".","."
"Social Issues and Education","500","001","","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Urban Education","505","001","","27","3.788","66.7","18.5","11.1",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Anthropology and Education","570","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","","17","3.625","52.9","17.6","17.6","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","600","003","","60","3.573","33.3","45.0","6.7","6.7",".",".",".","3.3",".",".",".",".","3.3",".","1.7","."
"","600","004","","14","3.625","85.7",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","600","005","","13","3.955","76.9","7.7",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"Problems in Educ Pol","","Course Total","","120","3.676","53.3","28.3","6.7","4.2",".","0.8",".","2.5",".",".",".",".","3.3",".","0.8","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intro to Ed Policy Studies","701","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","780","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Finance","830","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-History of Education","906","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Urban Education","911","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Anthropology&Education","970","001","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","","Page 90 of 403"
