"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","91","3.027","8.8","33.0","26.4","25.3","4.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","003
101","75","2.893","9.3","21.3","29.3","24.0","14.7",".","1.3",".",".",".",".",".",".",".",".","."
"","004
101","77","3.006","15.6","22.1","29.9","15.6","15.6","1.3",".",".",".",".",".",".",".",".",".","."
"","005
101","78","3.237","16.7","38.5","29.5","9.0","5.1","1.3",".",".",".",".",".",".",".",".",".","."
"","006
101","144","2.958","13.2","25.0","27.1","16.7","16.0","0.7","1.4",".",".",".",".",".",".",".",".","."
"","007
101","65","3.092","9.2","33.8","29.2","24.6","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","530","3.025","12.3","28.5","28.3","18.9","10.4","0.9","0.8",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","104
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","210
001","77","3.026","23.4","19.5","27.3","11.7","13.0","3.9","1.3",".",".",".",".",".",".",".",".","."
"","001
211","75","2.993","40.0","9.3","14.7","5.3","20.0","9.3","1.3",".",".",".",".",".",".",".",".","."
"","211
002","63","3.579","31.7","55.6","9.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
211","81","3.191","43.2","25.9","2.5","9.9","7.4","8.6","2.5",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","219","3.235","38.8","28.8","8.7","6.4","9.6","6.4","1.4",".",".",".",".",".",".",".",".","."
"","241
001","87","3.355","31.0","19.5","42.5","2.3","2.3","1.1",".","1.1",".",".",".",".",".",".",".","."
"","003
241","67","3.261","17.9","35.8","32.8","7.5","6.0",".",".",".",".",".",".",".",".",".",".","."
"","241
004","74","3.432","25.7","39.2","32.4","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","228","3.352","25.4","30.7","36.4","3.5","3.1","0.4",".","0.4",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","304
001","21","3.306","33.3","14.3","19.0","9.5","9.5",".",".","14.3",".",".",".",".",".",".",".","."
"","341
001","76","3.793","64.5","27.6","6.6",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"","341
002","130","3.338","41.5","29.2","13.8","4.6","3.8","4.6","2.3",".",".",".",".",".",".",".",".","."
"","003
341","65","3.039","9.2","26.2","40.0","15.4","4.6","3.1",".","1.5",".",".",".",".",".",".",".","."
"","004
341","74","3.589","41.9","39.2","12.2","4.1","1.4",".",".",".",".",".",".",".",".","1.4",".","."
"","341
005","18","3.306","11.1","50.0","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","341
091","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","19","3.632","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","18","3.306","27.8","38.9","22.2",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","438","3.458","40.2","32.2","16.9","5.0","2.3","2.1","0.7","0.2",".",".",".",".",".","0.2","0.2","."
"Hist of Ancient Philosophy","430
001","44","3.511","38.6","38.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","40","3.342","27.5","20.0","40.0","5.0","2.5",".",".",".",".",".",".",".","5.0",".",".","."
"19th Century Philosophers","433
001","12","3.409","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Classical Philosophers","454
001","17","3.000","17.6","29.4","17.6","17.6","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","23","3.630","47.8","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topic-Philos Relig","502
001","7","3.000","42.9",".",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","001
503","19","3.278","36.8","10.5","31.6","10.5",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"","522
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
002","17","3.294","29.4","41.2","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Special Topic","Course Total","25","3.400","36.0","36.0","20.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","14","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","18","3.324","22.2","33.3","27.8","5.6","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"Aesthetics","553
001","14","3.125","21.4","21.4","21.4",".","21.4",".",".",".",".",".",".",".","14.3",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 273 of 403",""
