"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.250","16.7","27.8","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","18","3.361","50.0","16.7","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","101
004","21","3.524","66.7","9.5","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","101
005","20","3.550","60.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","22","3.341","54.5","4.5","31.8",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","101
008","18","3.528","50.0","16.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","009
101","16","3.438","56.3",".","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","133","3.429","51.1","12.0","24.8","6.0","3.0","0.8","2.3",".",".",".",".",".",".",".",".","."
"","001
102","19","3.263","42.1","15.8","21.1","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.500","55.0","20.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","67","3.493","53.7","16.4","14.9","7.5","6.0","1.5",".",".",".",".",".",".",".",".",".","."
"","111
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","111
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
203","19","3.816","84.2",".","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","19","3.342","52.6","15.8","10.5","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","003
203","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","21","3.667","61.9","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","007
203","22","3.773","68.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","104","3.692","68.3","14.4","10.6","4.8","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","204
001","15","3.733","80.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","003
204","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","69","3.783","72.5","18.8","5.8","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","235
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","23","3.795","60.9","30.4","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","249
001","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","20","3.825","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
249","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","81","3.790","64.2","29.6","6.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
001","19","3.474","42.1","31.6","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
258","19","3.237","47.4","21.1","5.3","15.8",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","258
003","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","55","3.445","45.5","29.1","10.9","9.1","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"","262
001","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","262
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
262","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","45","3.856","88.9","6.7","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Intro to German Literature","274
001","16","3.375","43.8","37.5",".","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
