"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.600","45.0","50.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","101
002","23","3.174","21.7","34.8","26.1","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","003
101","19","3.194","5.3","42.1","31.6","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"","101
005","20","3.225","20.0","45.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","101
006","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","23","2.881","8.7","39.1","17.4","8.7","8.7",".","8.7","8.7",".",".",".",".",".",".",".","."
"","101
009","23","3.348","39.1","30.4","17.4","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","101
011","13","2.917","15.4","30.8","15.4","15.4","7.7",".","7.7","7.7",".",".",".",".",".",".",".","."
"","101
012","15","3.571","46.7","40.0",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"First Semester French","Course Total","171","3.274","26.3","39.2","16.4","7.0","3.5","1.8","2.9","2.9",".",".",".",".",".",".",".","."
"","102
001","12","3.500","41.7","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.325","25.0","45.0","15.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","004
102","19","3.632","63.2","26.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","102
006","19","3.611","52.6","26.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3","."
"","102
008","17","3.094","23.5","29.4","11.8","11.8","11.8","5.9",".","5.9",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","107","3.486","43.9","31.8","9.3","5.6","5.6","1.9",".","0.9",".",".",".",".",".",".","0.9","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","19","3.417","36.8","26.3","15.8","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","203
001","22","3.136",".","59.1","31.8","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","203
002","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","20","3.263","15.0","45.0","20.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","203
006","22","2.977","4.5","22.7","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
008","20","3.325","35.0","35.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
009","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
010","11","3.318","36.4","27.3","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","119","3.275","21.0","40.3","21.8","9.2","5.0","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"","204
001","21","2.833",".","19.0","42.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.525","38.1","38.1","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","4.8"
"","003
204","11","3.100","18.2","18.2","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","204
004","10","3.150",".","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","11","2.864",".","27.3","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","204
006","13","3.273",".","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","15.4"
"","204
007","22","3.205","9.1","31.8","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","11","2.800",".","45.5","18.2","9.1","9.1",".","9.1","9.1",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","120","3.117","10.0","32.5","33.3","13.3","5.8",".","0.8","0.8",".",".",".",".",".",".",".","3.3"
"French Interdis Studies","211
001","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
001","20","3.075","30.0","20.0","20.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","227
002","16","3.281","25.0","50.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","227
004","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","227
005","21","3.714","52.4","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","75","3.387","34.7","36.0","17.3","6.7","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"","228
001","23","3.457","47.8","30.4","13.0",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","228
002","9","3.679","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","003
228","22","2.887","18.2","13.6","36.4","4.5","13.6","9.1",".","4.5",".",".",".",".",".",".",".","."
"","228
005","22","3.358","4.5","59.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 209 of 403",""
