"","999
012","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
026","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","7","3.773","28.6","28.6",".",".",".",".","",".","28.6","",".",".","",".",".","14.3",".",".","."
"ED POL
310","Dept. Total","585","3.736","58.3","21.5","6.7","2.6","0.7","0.3","",".","3.4","",".","3.4","",".","0.9","1.9",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","47","3.674","55.3","27.7","8.5","6.4",".",".","",".",".","",".",".","",".",".","2.1",".",".","."
"Sophomore","","30","3.767","66.7","23.3","6.7","3.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","115","3.558","44.3","32.2","13.0","5.2","1.7","0.9","",".",".","",".",".","",".",".","2.6",".",".","."
"Senior","","210","3.751","63.8","23.8","7.6","1.9","1.0",".","",".","1.4","",".",".","",".",".","0.5",".",".","."
"Undergraduates","","402","3.688","57.5","26.6","9.2","3.5","1.0","0.2","",".","0.7","",".",".","",".",".","1.2",".",".","."
"Special","","16","3.654","43.8","25.0","6.3","6.3",".",".","",".","6.3","",".",".","",".",".","6.3",".","6.3","."
"Graduate","","166","3.915","61.4","9.0","0.6",".",".","0.6","",".","9.6","",".","12.0","",".","3.0","3.0",".","0.6","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","585","3.736","58.3","21.5","6.7","2.6","0.7","0.3","",".","3.4","",".","3.4","",".","0.9","1.9",".","0.3","."
