"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"573
Rdgs-Classical Japanese Lit","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"631
History of Chinese Language","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.917","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"763
Studies-Japanese Literature","001","","7","4.000","14.3",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"775
Stdys-Japanese Linguistics","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading for Research","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Smr-Chinese Linguistics","001","","10","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"951","001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"951","002","","7","4.000","14.3",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"Smr-Chinese Literature","Course Total","","15","3.813","33.3","20.0",".",".",".",".",".",".",".",".",".",".","46.7",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","16","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999
Independent Research","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","957","3.637","53.7","23.2","9.2","4.5","1.7","0.7","0.3","1.4",".","0.9",".","0.6","3.4","0.2","0.1","."
