"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"KINES","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","6","2.700",".",".","33.3","50.0",".",".","",".",".","",".","16.7","",".",".",".",".",".","."
"Sophomore","102","3.652","59.8","21.6","9.8","6.9","2.0",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","234","3.650","58.5","23.9","12.8","2.1","2.1","0.4","",".",".","",".",".","",".",".",".",".",".","."
"Senior","600","3.651","63.2","17.3","13.3","3.5","1.7","0.7","",".",".","",".","0.2","",".",".","0.2",".",".","."
"Undergraduates","942","3.647","61.3","19.3","13.0","3.8","1.8","0.5","",".",".","",".","0.2","",".",".","0.1",".",".","."
"Special","10","3.889","80.0","20.0",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","91","3.837","45.1","13.2","3.3",".",".",".","",".","6.6","",".","25.3","",".","6.6",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
