"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","90","3.167","35.6","15.6","25.6","8.9","8.9","3.3","2.2",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","90","2.844","17.8","18.9","18.9","21.1","15.6","6.7","1.1",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","91","3.440","45.1","20.9","22.0","3.3","7.7","1.1",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","141","3.642","64.5","13.5","12.8","5.7","2.8","0.7",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","124","3.779","69.4","21.0","4.8","1.6","0.8","0.8",".","1.6",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","123","3.780","67.5","22.8","8.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","54","3.787","88.9","5.6",".",".","1.9",".","3.7",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","29","3.776","62.1","31.0","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","84","3.923","85.7","13.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Com Dis","455","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","42","3.810","73.8","19.0","4.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","14","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","699","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Graduate Study","702","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","703","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","34","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders","708","001","34","3.706","44.1","52.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Schl Mthd,Procedr:Sp/Lang Path","714","001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","8","3.846","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","790","003","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","46","3.881","78.3","13.0","6.5",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"","799","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","041","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","29","3.926","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Counseling in Audiology","834","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 185 of 403",""
