"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","221","3.005","29.9","12.7","24.0","13.6","11.3","6.8","1.4",".",".",".",".",".","0.5",".",".","."
"","102
001","40","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","35","3.914","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","38","3.829","71.1","23.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","30","3.700","60.0","23.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","143","3.843","74.1","21.0","4.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.969","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","001
303","259","2.988","22.4","14.3","29.7","15.8","12.0","4.2","0.8",".","0.4",".",".",".","0.4",".",".","."
"","304
001","39","3.192","20.5","20.5","43.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","002
304","39","3.423","33.3","25.6","33.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","35","3.300","28.6","11.4","54.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","304
004","40","3.288","32.5","10.0","50.0","2.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","153","3.301","28.8","17.0","45.1","5.2","3.3","0.7",".",".",".",".",".",".",".",".",".","."
"","305
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
305","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","62","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","64","3.148","26.6","12.5","39.1","7.8","14.1",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","56","3.055","10.7","23.2","44.6","12.5","5.4",".","1.8",".",".",".",".",".","1.8",".",".","."
"Physiol of Microorganisms","526
001","77","2.896","9.1","26.0","19.5","31.2","13.0",".","1.3",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","527
001","82","3.383","39.0","15.9","29.3","13.4",".","1.2",".",".",".",".",".",".","1.2",".",".","."
"Immunology","528
001","60","3.358","46.7",".","41.7","1.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","25","3.600","60.0","16.0","20.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","11","3.182","18.2","9.1","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Virology-Multiplication","001
640","26","3.077","26.9","15.4","23.1","15.4","19.2",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 10 of 403"
