"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","88","3.534","48.9","20.5","25.0","2.3","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","11","2.955","9.1","36.4","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","77","3.487","46.8","15.6","28.6","6.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","77","3.734","63.6","20.8","14.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"642","001","","33","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"642","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","35","4.000","17.1",".",".",".",".",".",".","82.9",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","14","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"645","001","","36","4.000","41.7",".",".",".",".",".",".","55.6",".",".",".",".",".",".","2.8","."
"645","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","40","4.000","40.0",".",".",".",".",".",".","57.5",".",".",".",".",".",".","2.5","."
"646
Veterinary Anesthesiology","001","","28","4.000","64.3",".",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","30","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"675","001","","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"675","003","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","25","4.000","68.0",".",".",".",".",".",".","32.0",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".","9.1","."
"775","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"775","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","29","",".",".",".",".",".",".",".","75.9",".",".",".",".",".",".","24.1","."
"812
Rsch Ethics&Career Development","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
