"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","21","3.150","28.6","28.6","14.3","9.5","9.5",".","4.8","4.8",".",".",".",".",".",".",".","."
"315
Limnology-Aquatic Resources","001","","102","2.640","13.7","3.9","39.2","3.9","29.4","3.9","3.9","2.0",".",".",".",".",".",".",".","."
"316","001","","22","3.136","22.7","13.6","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"316","002","","19","3.026","15.8","15.8","42.1","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"316","003","","20","3.029","15.0","25.0","20.0","10.0","10.0","5.0",".",".",".",".",".",".","15.0",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","","61","3.069","18.0","18.0","32.8","14.8","9.8","1.6",".",".",".",".",".",".","4.9",".",".","."
"360
Extinction of Species","001","","122","3.402","30.3","35.2","28.7","2.5","0.8","1.6","0.8",".",".",".",".",".",".",".",".","."
"400","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"400","003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400","004","","11","3.227","27.3","27.3","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"400","005","","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"400","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","68","3.743","79.4","8.8","8.8",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"405
Intro to Museum Studies","001","","15","3.631","66.7","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"410","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"410","002","","46","2.802","21.7","10.9","17.4","13.0","21.7","8.7",".","2.2",".",".",".",".","2.2","2.2",".","."
"Evolutionary Biology","Course Total","","55","2.933","25.5","12.7","20.0","10.9","18.2","7.3",".","1.8",".",".",".",".","1.8","1.8",".","."
"430
Compar Anatomy-Vertebrates","001","","58","3.193","44.8","8.6","12.1","15.5","12.1","5.2",".",".","1.7",".",".",".",".",".",".","."
"460
General Ecology","001","","30","3.467","40.0","23.3","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","17","1.941",".",".","23.5","11.8","41.2","11.8","11.8",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","96","3.342","33.3","28.1","22.9","6.3","6.3","2.1",".",".",".",".",".",".","1.0",".",".","."
"555
Lab-Developmental Biology","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","134","3.213","41.0","6.7","29.1","3.0","18.7","1.5",".",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"691","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","16","3.936","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 322 of 403",""
