"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","286","3.098","16.8","28.0","31.8","10.1","8.0","1.4","1.7","0.3",".",".",".",".","1.7",".",".","."
"","125
001","26","3.660","53.8","26.9","11.5",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","002
125","274","3.144","21.9","31.4","22.3","12.0","8.0","4.0","0.4",".",".",".",".",".",".",".",".","."
"","125
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","Course Total","301","3.179","24.9","30.9","21.3","11.0","7.6","3.7","0.3",".",".",".",".",".","0.3",".",".","."
"Criminal Justice in America","131
001","80","2.759","12.5","10.0","31.3","15.0","26.3","3.8",".","1.3",".",".",".",".",".",".",".","."
"","134
001","201","3.807","72.1","18.9","6.5","0.5","0.5","0.5",".","0.5",".",".",".",".","0.5",".",".","."
"","134
002","187","3.543","54.0","19.3","18.2","3.7","2.7","1.6","0.5",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","388","3.679","63.4","19.1","12.1","2.1","1.5","1.0","0.3","0.3",".",".",".",".","0.3",".",".","."
"","140
001","19","3.553","31.6","52.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","140
005","19","3.421","31.6","42.1","5.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","Course Total","38","3.487","31.6","47.4","7.9","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","154","2.997","15.6","24.7","24.0","17.5","15.6","1.9",".","0.6",".",".",".",".",".",".",".","."
"Population Problems","170
002","285","3.225","28.8","27.7","20.0","12.3","8.8","2.1","0.4",".",".",".",".",".",".",".",".","."
"","199
166","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
266","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","108","3.850","84.3","9.3","2.8",".","0.9","1.9",".","0.9",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","75","3.293","26.7","24.0","41.3","2.7","4.0",".","1.3",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","66","3.223","19.7","40.9","19.7","12.1","1.5","3.0","1.5",".",".",".",".",".","1.5",".",".","."
"Food, Culture, and Society","222
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","48","3.309","31.3","22.9","29.2","8.3","4.2","2.1",".","2.1",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","13","3.269","53.8","7.7","15.4",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","30","3.050","3.3","53.3","23.3","10.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","357
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
357","16","2.844","25.0","6.3","25.0","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","003
357","18","3.444","38.9","27.8","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
357","16","3.219","37.5","25.0","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","005
357","16","3.063","31.3","18.8","31.3","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","357
006","15","2.967","6.7","26.7","40.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","357
008","14","3.286","28.6","21.4","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","357
009","25","3.460","48.0","28.0","16.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","129","3.240","33.3","24.0","23.3","7.0","8.5","2.3","1.6",".",".",".",".",".",".",".",".","."
"","360
001","26","3.058","19.2","30.8","26.9","3.8","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"","360
002","22","2.727","22.7","13.6","22.7","4.5","22.7","9.1","4.5",".",".",".",".",".",".",".",".","."
"","360
003","26","2.615","11.5","19.2","26.9","3.8","23.1","11.5","3.8",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","74","2.804","17.6","21.6","25.7","4.1","20.3","6.8","4.1",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","001
361","17","3.531","41.2","29.4","11.8","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"Processes-Deviant Behavior","421
001","51","3.059","29.4","19.6","19.6","11.8","11.8","7.8",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","176","3.028","30.7","17.0","19.9","13.6","11.9","2.8","4.0",".",".",".",".",".",".",".",".","."
"","475
001","6","3.500","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"","003
475","35","3.044","22.9","20.0","22.9","17.1","8.6","5.7",".",".",".",".",".",".","2.9",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 301 of 403",""
