"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","61","3.047","23.0","19.7","16.4","19.7","18.0",".",".",".",".",".",".",".",".","3.3",".","."
"","101
001","395","2.931","20.3","19.2","20.5","18.7","15.7","2.0","2.5","0.3",".",".",".",".","0.5",".",".","0.3"
"","101
002","390","2.943","19.7","20.5","19.5","19.5","15.6","3.6","1.0",".",".",".",".",".","0.5",".",".","."
"","101
003","350","2.997","19.4","19.4","26.0","16.0","15.7","2.9",".",".",".",".",".",".",".",".","0.3","0.3"
"","004
101","239","2.996","22.2","19.2","23.4","14.2","15.9","4.6",".","0.4",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1374","2.963","20.2","19.7","22.1","17.5","15.7","3.1","1.0","0.1",".",".",".",".","0.3",".","0.1","0.1"
"","102
001","228","2.781","11.0","14.9","24.6","30.3","11.8","6.6",".",".",".",".",".",".","0.9",".",".","."
"","102
002","260","3.031","18.1","27.3","26.5","8.1","15.8","3.8","0.4",".",".",".",".",".",".",".",".","."
"","102
003","343","3.089","15.5","29.2","32.7","8.5","10.8","2.6","0.3","0.3",".",".",".",".",".",".","0.3","."
"Principles-Macroeconomics","Course Total","831","2.987","15.0","24.7","28.5","14.3","12.6","4.1","0.2","0.1",".",".",".",".","0.2",".","0.1","."
"Prin/Econ-Accelratd Treatmt","001
111","36","3.347","33.3","25.0","30.6","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","10","2.650","10.0","10.0","40.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","300
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","15","2.767","13.3","13.3","33.3","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","001
301","114","2.889","20.2","15.8","20.2","20.2","18.4","2.6","1.8","0.9",".",".",".",".",".",".",".","."
"","301
002","113","2.881","19.5","17.7","20.4","16.8","21.2","2.7","1.8",".",".",".",".",".",".",".",".","."
"","003
301","171","2.740","15.2","15.8","21.6","18.7","18.7","8.8","1.2",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","398","2.822","17.8","16.3","20.9","18.6","19.3","5.3","1.5","0.3",".",".",".",".",".",".",".","."
"","302
001","194","3.459","35.1","33.5","22.2","7.7","1.0","0.5",".",".",".",".",".",".",".",".",".","."
"","002
302","210","2.947","18.1","21.9","21.4","21.9","11.0","3.3","1.9",".",".",".",".",".",".",".","0.5","."
"Intmed Macroeconomic Theory","Course Total","404","3.194","26.2","27.5","21.8","15.1","6.2","2.0","1.0",".",".",".",".",".",".",".","0.2","."
"The Real Estate Process","306
001","67","2.674","4.5","14.9","35.8","19.4","13.4","10.4",".",".",".",".",".",".",".","1.5",".","."
"","310
001","144","2.884","20.1","25.7","16.7","18.1","6.9","4.9","6.3",".",".",".",".",".","1.4",".",".","."
"","310
002","91","2.659","16.5","20.9","23.1","12.1","11.0","5.5","11.0",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","235","2.796","18.7","23.8","19.1","15.7","8.5","5.1","8.1",".",".",".",".",".","0.9",".",".","."
"","311
001","26","3.673","65.4","23.1",".","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","311
002","53","3.755","66.0","20.8","11.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","Course Total","79","3.728","65.8","21.5","7.6","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Money and Banking","330
001","184","2.740","12.5","10.9","24.5","26.6","16.8","4.9","1.1","2.2",".",".",".",".","0.5",".",".","."
"Environmental Economics","343
001","57","2.803","26.3","8.8","26.3","3.5","22.8","10.5","1.8",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","30","2.933","16.7","23.3","33.3","10.0","6.7","6.7","3.3",".",".",".",".",".",".",".",".","."
"","390
014","70","3.464","40.0","21.4","30.0","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"","015
390","45","3.295","31.1","24.4","26.7","6.7","6.7","2.2",".",".",".",".",".",".",".","2.2",".","."
"Contemporary Economic Issues","Course Total","115","3.399","36.5","22.6","28.7","7.8","2.6","0.9",".",".",".",".",".",".",".","0.9",".","."
"","410
001","107","2.944","22.4","17.8","21.5","19.6","13.1","2.8","2.8",".",".",".",".",".",".",".",".","."
"","410
002","52","3.346","25.0","26.9","40.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","Course Total","159","3.051","23.3","20.8","27.7","15.7","8.8","1.9","1.9",".",".",".",".",".",".",".",".","."
"","001
420","11","3.273","18.2","45.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","420
002","20","3.300","30.0","30.0","35.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","31","3.290","25.8","35.5","29.0","3.2","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","118","3.131","22.0","25.4","24.6","17.8","7.6","2.5",".",".",".",".",".",".",".",".",".","."
