"BUS","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","23","3.932","82.6","13.0",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","55","3.917","81.8","16.4",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"","301
001","","50","3.960","94.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","60","3.967","95.0","3.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","33","3.242","24.2","24.2","24.2","15.2","6.1",".",".","6.1",".",".",".",".",".",".",".","."
"","303
002","","34","3.191","32.4","26.5","14.7","17.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","67","3.215","28.4","25.4","19.4","16.4","4.5","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","50","3.110","26.0","24.0","28.0","10.0","4.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"","650
002","","32","3.219","28.1","34.4","12.5","15.6","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","82","3.152","26.8","28.0","22.0","12.2","4.9","3.7","2.4",".",".",".",".",".",".",".",".","."
"","652
001","","45","3.144","24.4","26.7","11.1","28.9","8.9",".",".",".",".",".",".",".",".",".",".","."
"","652
002","","40","3.113","32.5","17.5","17.5","25.0","2.5",".","5.0",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","85","3.129","28.2","22.4","14.1","27.1","5.9",".","2.4",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","41","3.317","24.4","39.0","14.6","19.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","398","3.284","46.5","21.6","12.6","13.1","3.3","1.0","1.3","0.8",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","72","3.308","55.6","19.4","12.5","8.3","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"Junior","","","101","3.448","64.4","13.9","8.9","6.9","3.0","2.0",".","1.0",".",".",".",".",".",".",".","."
"Senior","","","152","3.099","28.9","25.7","14.5","22.4","4.6",".","3.3","0.7",".",".",".",".",".",".",".","."
"Undergraduates","","","325","3.228","45.8","20.6","12.3","14.5","3.7","0.9","1.5","0.6",".",".",".",".",".",".",".","."
"Special","","","66","3.474","48.5","25.8","13.6","7.6","1.5","1.5",".","1.5",".",".",".",".",".",".",".","."
"Graduate","","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","398","3.284","46.5","21.6","12.6","13.1","3.3","1.0","1.3","0.8",".",".",".",".",".",".",".","."
