"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","27","3.630","33.3","59.3","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","26","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","26","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","25","3.680","36.0","64.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","27","3.704","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
300","27","3.759","59.3","37.0",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","27","3.741","48.1","51.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","369","3.762","53.4","45.8","0.5","0.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","149","2.859","10.1","10.1","43.6","22.1","10.7","2.7","0.7",".",".",".",".",".",".",".",".","."
"","002
301","215","3.084","16.3","14.4","48.4","12.6","7.9","0.5",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","364","2.992","13.7","12.6","46.4","16.5","9.1","1.4","0.3",".",".",".",".",".",".",".",".","."
"","302
001","46","3.652","58.7","19.6","15.2","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","39","3.679","59.0","17.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","85","3.665","58.8","18.8","18.8","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","102","2.921","13.7","8.8","48.0","8.8","17.6","2.0",".",".",".",".",".",".","1.0",".",".","."
"","002
303","75","3.095","17.3","14.7","45.3","12.0","9.3",".",".",".",".",".",".",".","1.3",".",".","."
"","303
010","47","2.446","6.4","8.5","31.9","14.9","21.3","8.5","6.4",".","2.1",".",".",".",".",".",".","."
"Business Statistics","Course Total","224","2.880","13.4","10.7","43.8","11.2","15.6","2.7","1.3",".","0.4",".",".",".","0.9",".",".","."
"","001
304","95","3.384","26.3","41.1","23.2","4.2","4.2","1.1",".",".",".",".",".",".",".",".",".","."
"","002
304","93","3.511","46.2","28.0","11.8","9.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","188","3.447","36.2","34.6","17.6","6.9","4.3","0.5",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","120","3.192","36.7","4.2","34.2","12.5","11.7","0.8",".",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","15","3.367","26.7","60.0",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","365
002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
365","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
365","23","3.848","91.3",".",".","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","365
005","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","24","3.875","91.7",".","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","365
008","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
009","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
010","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
365","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
012","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
365","24","3.833","83.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","365
014","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
015","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 49 of 403"
