"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"GEN BUS
231","Dept. Total","2665","3.458","55.5","17.7","15.9","4.8","3.8","0.5","0.3","0.5","0.0","0.8","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","91","3.926","92.3","4.4","2.2",".","1.1",".",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","559","3.654","71.0","16.1","8.9","1.6","2.1",".",".",".",".","0.2","",".","",".",".",".",".","."
"Junior","","808","3.453","59.4","17.7","12.6","4.1","5.0","0.7","0.1",".",".","0.2","",".","",".","0.1",".",".","."
"Senior","","874","3.298","39.9","16.2","26.3","9.3","4.9","0.9","0.3",".","0.1","1.8","",".","",".","0.1",".",".","."
"Undergraduates","","2332","3.444","56.2","16.3","16.5","5.3","4.1","0.6","0.2",".","0.0","0.8","",".","",".","0.1",".",".","."
"Special","","10","3.214","30.0","20.0","30.0",".","10.0",".","10.0",".",".",".","",".","",".",".",".",".","."
"Graduate","","318","3.589","51.6","28.3","11.6","1.3","0.9",".","0.9","3.8",".","0.6","",".","",".","0.3",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","3","2.857",".","33.3",".","33.3","33.3",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","5","3.385","40.0","20.0",".","20.0","20.0",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","2665","3.458","55.5","17.7","15.9","4.8","3.8","0.5","0.3","0.5","0.0","0.8","",".","",".","0.1",".",".","."
