"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","494","3.228","24.7","27.9","27.5","9.1","8.5","1.2","0.2","0.2",".",".",".",".","0.6",".",".","."
"132","002","","497","3.265","25.2","30.8","26.6","9.1","6.4","1.0","0.4","0.4",".",".",".",".",".","0.2",".","."
"132","003","","169","3.083","20.1","24.9","29.6","10.7","10.1","3.6","0.6","0.6",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","1160","","3.223","24.2","28.7","27.4","9.3","7.8","1.5","0.3","0.3",".",".",".",".","0.3","0.1",".","."
"200
Prof-Dietetics & Nutrition","001","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"203
Introduction to Global Health","001","","296","3.495","40.9","30.7","21.3","3.0","2.4","1.0","0.3",".",".",".",".",".","0.3",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","34","3.955","91.2","5.9",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"332
Human Nutritional Needs","001","","130","3.194","30.8","26.2","18.5","10.8","9.2","1.5","2.3","0.8",".",".",".",".",".",".",".","."
"375
Special Topics","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","001","","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"421","003","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","Course Total","","16","3.850","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","32","3.813","84.4",".","12.5",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","41","2.976","17.1","26.8","14.6","26.8","9.8","4.9",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","45","3.389","28.9","44.4","13.3","6.7","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799
Pract-Nutri Sciences Tchg","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
