"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001","16","3.219","31.3","31.3","18.8",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","102
002","17","2.941","29.4","23.5","5.9","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","102
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","Course Total","85","3.512","56.5","20.0","9.4","7.1","3.5","2.4","1.2",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","250
001","14","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.943","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.892","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","16","3.929","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
250","16","3.933","81.3",".","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","250
006","16","3.871","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","250
007","18","3.889","77.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","008
250","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Research Experience","Course Total","141","3.906","80.1","13.5","2.8",".",".",".",".",".",".",".",".",".","2.8",".","0.7","."
"Intrnshp in Liberal Arts & Sci","260
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","304","3.788","78.0","12.2","3.9","2.0","1.0","0.7","0.3",".",".",".",".",".","1.6",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","170","3.678","66.5","17.6","5.9","3.5","1.8","1.2","0.6",".",".",".",".",".","2.4",".","0.6","."
"Sophomore","","82","3.952","91.5","4.9","2.4",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Junior","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","23","3.986","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","304","3.788","78.0","12.2","3.9","2.0","1.0","0.7","0.3",".",".",".",".",".","1.6",".","0.3","."
"","Dept. Total","304","3.788","78.0","12.2","3.9","2.0","1.0","0.7","0.3",".",".",".",".",".","1.6",".","0.3","."
