"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","231","3.213","14.7","33.8","36.8","10.4","2.6","1.3",".","0.4",".",".",".",".",".",".",".","."
"","300
002","218","3.060","6.4","33.0","37.6","16.5","4.6","1.4","0.5",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","449","3.138","10.7","33.4","37.2","13.4","3.6","1.3","0.2","0.2",".",".",".",".",".",".",".","."
"","305
001","54","3.204","24.1","25.9","29.6","14.8","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"","305
002","41","3.524","36.6","36.6","22.0","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","95","3.342","29.5","30.5","26.3","10.5","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"","310
001","51","3.196","25.5","25.5","29.4","9.8","7.8",".","2.0",".",".",".",".",".",".",".",".","."
"","310
002","50","3.270","26.0","26.0","32.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","101","3.233","25.7","25.7","30.7","8.9","7.9",".","1.0",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","49","3.388","28.6","26.5","38.8","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"Global Marketing Strategy","420
001","36","3.681","50.0","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","45","3.400","37.8","20.0","33.3","6.7",".","2.2",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","45","3.300","20.0","40.0","22.2","15.6","2.2",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","47","3.532","38.3","38.3","17.0","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","425
001","43","3.369","27.9","20.9","44.2","4.7",".",".",".","2.3",".",".",".",".",".",".",".","."
"","425
002","47","3.309","17.0","31.9","46.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","35","3.443","28.6","34.3","34.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","125","3.367","24.0","28.8","42.4","4.0",".",".",".","0.8",".",".",".",".",".",".",".","."
"","001
460","46","3.380","28.3","34.8","26.1","6.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"","460
002","28","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","74","3.439","31.1","37.8","21.6","6.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"","640
001","21","3.071","19.0","23.8","33.3","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","640
002","18","3.083","16.7","11.1","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","39","3.077","17.9","17.9","41.0","12.8","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"","700
001","50","3.460","24.0","52.0","18.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","700
002","51","3.471","25.5","43.1","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","48","3.563","37.5","39.6","20.8","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","34","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","183","3.544","32.8","45.9","19.1","1.6","0.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","50","3.720","48.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","18","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","17","3.529","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","34","3.588","44.1","29.4","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","38","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
765","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
765","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","94","3.920","81.9","14.9","2.1",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 61 of 403"
