"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","990
130","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
134","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
160","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
165","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
195","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
231","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
256","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
262","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
299","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","46","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"Seminar","992
001","21","3.973","85.7","4.8",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Statistical Consulting","998
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","2432","3.200","36.9","18.1","19.7","8.4","8.6","2.8","2.3","1.2",".","0.0",".","1.2","0.3","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","43","3.151","37.2","11.6","23.3","18.6","2.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"Sophomore","","412","2.974","31.3","15.3","20.4","11.2","12.6","5.8","3.4",".",".",".",".",".",".",".",".","."
"Junior","","781","3.078","31.1","17.4","21.9","10.6","13.1","2.6","2.3",".",".",".",".","0.1","0.5","0.1","0.3","."
"Senior","","691","3.172","34.7","19.2","21.9","8.7","8.0","3.0","2.7","0.1",".","0.1",".","0.9","0.3",".","0.3","."
"Undergraduates","","1927","3.090","32.6","17.5","21.6","10.2","10.9","3.5","2.7","0.1",".","0.1",".","0.4","0.3","0.1","0.2","."
"Special","","32","3.601","75.0","9.4","6.3","6.3",".",".","3.1",".",".",".",".",".",".",".",".","."
"Graduate","","467","3.647","51.8","21.4","13.3","1.1",".",".","0.6","6.0",".",".",".","4.9","0.2","0.4","0.2","."
"Prof Yr 3","","3","3.786","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Prof Yr 4","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","6","3.893","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","Dept. Total","2432","3.200","36.9","18.1","19.7","8.4","8.6","2.8","2.3","1.2",".","0.0",".","1.2","0.3","0.1","0.2","."
