"Politics&Policy in Global Econ","602
001","15","3.233","13.3","40.0","33.3","6.7","6.7",".",".",".","",".","",".",".",".","",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","622
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"Directed Study","699
003","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"INTL ST
504","Dept. Total","630","3.084","15.6","21.7","22.4","12.4","8.6","1.4","0.3","",".","",".","16.5","0.5","",".","0.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","215","2.973","8.4","19.1","27.9","14.9","9.3","0.9","0.5","",".","",".","19.1",".","",".",".",".",".","."
"Sophomore","","153","3.033","11.8","21.6","20.3","14.4","8.5","2.0",".","",".","",".","20.9",".","",".",".","0.7",".","."
"Junior","","111","3.022","13.5","21.6","22.5","11.7","9.0","3.6",".","",".","",".","17.1","0.9","",".",".",".",".","."
"Senior","","128","3.357","32.8","29.7","15.6","5.5","8.6",".","0.8","",".","",".","5.5",".","",".","0.8",".",".","."
"Undergraduates","","607","3.082","15.3","22.4","22.4","12.2","8.9","1.5","0.3","",".","",".","16.3","0.2","",".","0.2","0.2",".","."
"Special","","19","3.000","10.5","5.3","26.3","21.1",".",".",".","",".","",".","26.3","10.5","",".",".",".",".","."
"Graduate","","4","4.000","75.0",".",".",".",".",".",".","",".","",".",".",".","",".",".",".","25.0","."
"","Dept. Total","630","3.084","15.6","21.7","22.4","12.4","8.6","1.4","0.3","",".","",".","16.5","0.5","",".","0.2","0.2","0.2","."
