"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","144","3.726","71.5","10.4","13.2","2.8","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","21","3.429","38.1","19.0","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.947","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","34","3.250","35.3","29.4","17.6","8.8","2.9",".","5.9",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","7","3.115","28.6","57.1",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"500
Insects in Forest Ecol & Mgmt","001","","9","2.889","44.4",".","22.2",".","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","7","3.660","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","3.734","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar: Organismal Entomol","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","26","",".",".",".",".",".",".",".","15.4",".",".",".","84.6",".",".",".","."
