"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289
Honors Independent Study","041","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","63","3.992","92.1","1.6",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"375
Special Topics","002","","30","3.845","73.3","20.0",".","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"501
Introduction-Biochemistry","001","","560","3.049","25.2","12.3","33.8","9.1","15.9","3.0",".","0.2",".",".",".",".","0.4",".","0.2","."
"507
General Biochemistry I","001","","229","3.117","33.2","15.3","23.1","13.1","9.6","1.3","3.5",".",".",".",".",".","0.9",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","16","3.063","18.8","12.5","43.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","64","3.234","12.5","28.1","56.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","32","3.597","53.1","28.1","6.3",".","9.4",".",".",".",".",".",".",".","3.1",".",".","."
"630
Cellulr Signal Transductn Mech","001","","60","3.345","21.7","23.3","51.7",".",".",".",".",".",".",".",".",".","1.7","1.7",".","."
"651
Biochemical Methods","001","","60","3.449","36.7","33.3","18.3","5.0","3.3","1.7",".",".",".",".",".",".","1.7",".",".","."
"660
Methods in Biochemistry","001","","28","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 13 of 403"
