"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","24","3.417","50.0","20.8","16.7","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","003
101","24","3.625","58.3","29.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","005
101","24","3.543","41.7","37.5","12.5",".",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"","006
101","24","3.478","29.2","45.8","12.5","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","101
007","22","3.205","13.6","50.0","22.7","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","101
008","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","25","3.580","48.0","36.0","8.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"","101
011","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
101","18","3.278","38.9","27.8","11.1","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","101
014","13","3.591","38.5","38.5",".",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","217","3.556","49.8","30.0","10.1","2.8","3.2","1.4","0.9","1.4",".",".",".",".","0.5",".",".","."
"","102
003","14","3.250","35.7","28.6","7.1","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"","102
005","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","62","3.605","53.2","30.6","6.5","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","13","3.654","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","201
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
201","21","3.650","61.9","9.5","19.0",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","28","3.704","64.3","14.3","14.3",".","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","002
203","12","2.708","16.7","8.3","25.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","203
003","15","3.467","40.0","26.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","005
203","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
006","24","3.208","20.8","45.8","12.5","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","64","3.227","29.7","29.7","18.8","9.4","9.4","1.6","1.6",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","18","3.361","55.6",".","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","7","2.857","28.6",".","57.1",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","20","3.395","20.0","50.0","15.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","12","3.250","33.3","33.3","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","10","2.944","30.0","20.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0","."
"Italian Film","460
001","12","3.833","58.3","8.3","8.3",".",".",".",".","16.7",".",".",".",".","8.3",".",".","."
"Lineamenti Di Lett Italiana","631
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Romance Philology","817
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
