"Neuroscience Core Clerkship","Course Total","","43","3.369","18.6","34.9","44.2",".","",".","",".","",".","",".","",".",".","",".","",".","2.3",".",".","."
"","919
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
041","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","","65","3.495","44.6","23.1","29.2",".","",".","",".","",".","",".","",".",".","",".","",".","1.5",".","1.5","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","6","4.000","83.3",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","16.7","."
"Senior","","","13","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","19","4.000","94.7",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","5.3","."
"Prof Yr 2","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","38","3.378","21.1","31.6","44.7",".","",".","",".","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Prof Yr 4","","","7","3.538","42.9","28.6","28.6",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","46","3.404","23.9","32.6","41.3",".","",".","",".","",".","",".","",".",".","",".","",".","2.2",".",".","."
"","Dept. Total","","65","3.495","44.6","23.1","29.2",".","",".","",".","",".","",".","",".",".","",".","",".","1.5",".","1.5","."
