"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","101
001","","21","3.143","28.6","28.6","19.0","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"","101
002","","22","3.273","36.4","27.3","27.3",".",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","101
003","","19","3.474","42.1","26.3","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","3.425","45.0","15.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","Course Total","","82","3.323","37.8","24.4","20.7","11.0","1.2","3.7","1.2",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav101","181
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","21","3.333","38.1","19.0","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","","20","3.658","45.0","35.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Third Semester Russian","Course Total","","41","3.488","41.5","26.8","14.6","14.6",".",".",".","2.4",".",".",".",".",".",".",".","."
"Third Semester Polish","207
001","","9","3.556","55.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","242
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","245
001","","14","3.143","35.7",".","57.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"3rd Semester Serbo-Croatian","251
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
275","","17","3.412","52.9","17.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","002
275","","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian I","Course Total","","32","3.500","53.1","18.8","18.8","6.3",".",".","3.1",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Intensive Polish","301
001","","10","3.250","60.0","10.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Russian Lang & Culture I","315
001","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321
001","","14","3.464","50.0","21.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","331
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","331
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Polish I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Fourth Year Polish II","332
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov","420
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tolstoy","424
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Russian Culture","433
001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Literature","440
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem Intensive Serbo-Cro","441
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Istorija srpske/hrvatske li","449
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.962","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Russian Realism","707
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Proseminar-Slavic Lit & Cult","800
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
