"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","38","3.770","71.1","13.2","7.9","5.3",".",".",".",".",".","",".",".","",".","",".",".","2.6","."
"Indians of North America","314
001","79","2.935","13.9","16.5","27.8","24.1","13.9","1.3",".","1.3",".","",".",".","",".","","1.3",".",".","."
"Am Ind Art Histry: Contemp Iss","359
001","12","3.700","58.3","16.7",".",".","8.3",".",".","16.7",".","",".",".","",".","",".",".",".","."
"Survey-N Amer Indian Languages","371
001","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".","",".",".","",".","",".",".",".","."
"American Indian Folklore","431
001","10","3.000","40.0","20.0",".","20.0",".","20.0",".",".",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","450
006","20","3.950","90.0","10.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Ethnobotany","474
001","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".","",".",".","",".","",".",".",".","."
"American Indian Families","522
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Poverty and Place","578
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","188","3.358","44.7","15.4","16.0","12.8","6.4","1.6","0.5","1.6","",".",".","",".","",".","0.5",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.640","60.0","20.0","12.0","4.0","4.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","48","3.281","37.5","16.7","20.8","18.8","4.2","2.1",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","53","3.260","43.4","9.4","13.2","18.9","13.2",".",".",".","",".",".","",".","",".","1.9",".",".","."
"Senior","","55","3.330","41.8","20.0","18.2","7.3","3.6","3.6","1.8","3.6","",".",".","",".","",".",".",".",".","."
"Undergraduates","","181","3.340","43.6","16.0","16.6","13.3","6.6","1.7","0.6","1.1","",".",".","",".","",".","0.6",".",".","."
"Special","","5","4.000","60.0",".",".",".",".",".",".","20.0","",".",".","",".","",".",".",".","20.0","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","188","3.358","44.7","15.4","16.0","12.8","6.4","1.6","0.5","1.6","",".",".","",".","",".","0.5",".","0.5","."
