"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","148","3.070","12.2","18.9","46.6","8.1","10.8",".",".","3.4",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","179","2.934","16.2","19.0","26.8","17.3","11.7","5.0","0.6","3.4",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","20","3.132","25.0","35.0","10.0","10.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Resources and People","139","001","27","2.870","14.8","14.8","33.3","11.1","22.2","3.7",".",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","88","3.494","38.6","22.7","27.3","4.5","1.1",".",".","5.7",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","13","3.115","15.4","38.5","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","12","3.409","25.0","33.3","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Africa: Introductory Survey","277","001","11","3.136","18.2","27.3","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","50","3.694","60.0","28.0","8.0",".",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","31","2.920","6.5","32.3","16.1","6.5","12.9","6.5",".","19.4",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","18","3.313","33.3","16.7","22.2","5.6","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","25","3.604","52.0","28.0","8.0",".","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"","339","001","32","2.766","18.8","6.3","31.3","21.9","15.6",".","6.3",".",".",".",".",".",".",".",".","."
"","339","002","26","3.000","11.5","15.4","42.3","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","58","2.871","15.5","10.3","36.2","22.4","12.1",".","3.4",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","172","3.422","49.4","15.1","17.4","3.5","3.5","1.7","2.9","2.3",".",".",".",".","4.1",".",".","."
"Europe","349","001","123","3.325","34.1","21.1","22.0","8.1","9.8",".",".","4.1",".",".",".",".","0.8",".",".","."
"Russia & NIS-Topical Anal","353","001","23","3.190","21.7","30.4","21.7","13.0",".",".","4.3",".",".",".",".",".","4.3","4.3",".","."
"Introduction to Cartography","370","001","79","3.044","24.1","13.9","35.4","10.1","12.7","2.5","1.3",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","54","3.296","37.0","24.1","20.4","5.6","9.3","3.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","001","24","3.522","41.7","25.0","25.0",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","11","3.450","27.3","27.3","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","41","3.134","17.1","14.6","51.2","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"","475","001","10","3.500","40.0","30.0",".","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","475","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","19","3.750","68.4","15.8",".","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"Space&Place-A Geog Expernce","501","001","24","3.818","70.8","12.5","4.2","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Culture and Environment","537","001","14","3.071","35.7","28.6","21.4",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","002","50","3.656","48.0","24.0","16.0","2.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Graphic Design-Cartography","572","001","23","3.457","52.2","21.7","13.0",".","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","010","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","71.4",".",".",".",".",".","."
"Special Topics in Geography","676","001","13","3.231","38.5","15.4","23.1",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
