"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Engineering Design Projects","Course Total","54","3.352","18.5","33.3","48.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","14","3.464","50.0","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","34","3.500","35.3","38.2","20.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","56","2.973","14.3","32.1","19.6","12.5","16.1","5.4",".",".",".",".",".",".",".",".",".","."
"","361
002","60","2.669","6.7","20.0","23.3","15.0","26.7","5.0","1.7",".",".",".",".",".","1.7",".",".","."
"","361
003","53","2.931","17.0","18.9","17.0","20.8","22.6",".",".",".",".",".",".",".","3.8",".",".","."
"Thermodynamics","Course Total","169","2.852","12.4","23.7","20.1","16.0","21.9","3.6","0.6",".",".",".",".",".","1.8",".",".","."
"","363
001","64","3.391","40.6","12.5","40.6",".","4.7","1.6",".",".",".",".",".",".",".",".",".","."
"","002
363","43","2.674","9.3","16.3","30.2","11.6","25.6","2.3","4.7",".",".",".",".",".",".",".",".","."
"","363
003","40","3.313","32.5","17.5","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","147","3.160","29.3","15.0","37.4","3.4","12.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"","364
001","64","2.820","15.6","25.0","21.9","7.8","17.2","12.5",".",".",".",".",".",".",".",".",".","."
"","002
364","64","3.125","21.9","31.3","25.0","6.3","9.4","6.3",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","128","2.973","18.8","28.1","23.4","7.0","13.3","9.4",".",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","001
368","101","2.990","14.9","18.8","35.6","10.9","19.8",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","73","2.863","11.0","19.2","27.4","19.2","21.9","1.4",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
001","58","3.603","46.6","27.6","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","28","3.625","46.4","32.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","87","3.603","46.0","28.7","25.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","001
424","9","2.500","22.2","11.1","11.1",".","44.4",".","11.1",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","23","3.659","60.9","21.7","8.7",".",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","39","3.782","64.1","28.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","15","2.750","26.7","20.0","13.3",".","20.0",".","13.3",".",".",".",".",".","6.7",".",".","."
"","446
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","17","2.688","23.5","23.5","11.8",".","17.6","5.9","11.8",".",".",".",".",".","5.9",".",".","."
"Comptr Cntrl-Machns&Process","447
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","22","3.432","40.9","27.3","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","47","3.587","34.0","51.1","10.6",".","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"Engr Principles-Ag Machinery","475
001","8","2.813",".",".","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","489
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","4","***","","","","","","","","","","","","","","","",""
"","491
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 133 of 403",""
