"","999
022","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
029","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7","",".",".",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","3204","3.148","30.6","15.9","20.6","8.7","6.9","3.3","2.2","6.0","",".","3.0","0.2","0.7","0.5","0.1","1.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","142","3.018","31.0","15.5","28.2","9.9","5.6","7.0","2.8",".","",".",".",".",".",".",".",".","."
"Sophomore","","507","2.939","27.0","14.6","23.9","14.2","9.7","4.1","3.9",".","",".","1.2","0.2",".","1.0","0.2",".","."
"Junior","","642","3.003","25.9","17.1","24.8","10.9","8.3","5.1","3.0","0.3","",".","4.0","0.5",".","0.2",".",".","."
"Senior","","1027","3.057","26.7","16.7","24.1","10.2","9.4","3.7","2.4","0.4","",".","5.0","0.2","0.5","0.4","0.1","0.1","."
"Undergraduates","","2318","3.014","26.8","16.3","24.5","11.3","8.9","4.4","2.9","0.3","",".","3.6","0.3","0.2","0.4","0.1","0.0","."
"Special","","86","3.249","40.7","14.0","19.8","9.3","5.8","4.7","1.2","1.2","",".","3.5",".",".",".",".",".","."
"Graduate","","802","3.670","40.8","14.8","9.5","1.2","1.0","0.1","0.2","23.1","",".","1.1",".","2.4","0.6",".","5.1","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"","Dept. Total","3207","3.148","30.7","15.9","20.6","8.7","6.9","3.3","2.2","6.0","",".","3.0","0.2","0.7","0.5","0.1","1.3","."
