"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","395","3.517","41.0","31.4","19.7","3.0","1.3","1.3","0.3","0.3",".",".",".",".","1.0",".","0.5","0.3"
"Voice Training","140
001","12","3.542","50.0","33.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","150
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","16","3.469","56.3","31.3",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","150
003","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","20","3.625","60.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","005
150","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","20","3.750","85.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","150
010","20","3.850","85.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","126","3.778","77.8","14.3","2.4","1.6","1.6","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","21","3.333","38.1","38.1","9.5",".","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","16","3.800","81.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"","219
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","219
002","18","3.583","55.6","38.9",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","20","3.625","55.0","40.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","001
224","30","3.400","43.3","26.7","16.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","001
250","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","10","3.750","40.0","40.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Javanese Performance","321
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting Realism","350
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","20","3.375","5.0","65.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","54","3.630","42.6","40.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","001
363","16","3.936","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Sewing for the Theatre","001
365","7","3.071","14.3","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","10","3.794","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","11","3.824","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","21","3.810","76.2","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370
001","14","3.881","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Set Design I","372
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","15","3.667","66.7","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 314 of 403",""
