"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","43","3.326","44.2","18.6","20.9",".","14.0",".","2.3",".",".",".",".",".",".",".",".","."
"299
Independent Study","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","76","3.507","34.2","35.5","27.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","76","3.605","53.9","22.4","17.1","3.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","76","3.855","73.7","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","76","3.809","65.8","30.3","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","76","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Veterinary General Path","002","","76","3.855","78.9","13.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","76","3.796","71.1","18.4","9.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","31","4.000","74.2",".",".",".",".",".",".","22.6",".",".",".",".",".",".","3.2","."
"675","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","151","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","168","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","4.000","46.2",".",".",".",".",".",".","46.2",".",".",".",".",".",".","7.7","."
"775","001","","21","",".",".",".",".",".",".",".","90.5",".",".",".",".",".",".","9.5","."
"775","002","","7","",".",".",".",".",".",".",".","57.1",".",".",".",".",".",".","42.9","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","31","",".",".",".",".",".",".",".","80.6",".",".",".",".",".",".","19.4","."
"920
Thesis Research Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","13","3.727","38.5","46.2",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Advanced Seminar","Course Total","","19","3.813","52.6","31.6",".",".",".",".",".","5.3",".",".",".",".","10.5",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
