"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","9","2.944","22.2","33.3","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"101","002","","11","3.650","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Beginning Class Piano","Course Total","","20","3.316","35.0","30.0","20.0",".","5.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"102
Beginning Class Piano","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","19","3.967","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"147
First Year Composition","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","12","3.364","41.7","33.3","8.3",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"201","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","10","3.667","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","7","3.813","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","21","3.941","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","6","3.625","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","6","3.944","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"231","025","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"231","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"231","101","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 268 of 403",""
