"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","48","2.833","18.8","10.4","16.7","27.1","27.1",".",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","176","3.341","24.4","40.9","19.3","8.0","4.0","1.7",".",".",".",".",".",".",".","0.6","1.1","."
"Global Phys Environments","120","001","100","3.021","13.0","20.0","36.0","14.0","14.0",".",".",".",".",".",".",".",".",".",".","3.0"
"Green Screen","125","001","58","3.377","31.0","34.5","22.4","5.2","3.4",".","1.7",".",".",".",".",".",".",".","1.7","."
"Physical Systems of Envr","127","001","18","3.000","16.7","5.6","44.4","16.7","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Resources and People","139","001","46","3.207","30.4","17.4","26.1","19.6","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","37","3.351","35.1","16.2","37.8","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","46","3.122","13.0","30.4","34.8","15.2","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","70","2.886","24.3","8.6","31.4","5.7","24.3","4.3","1.4",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","10","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","70","2.979","18.6","15.7","30.0","17.1","17.1","1.4",".",".",".",".",".",".",".",".",".","."
"","339","002","58","2.888","10.3","19.0","34.5","17.2","17.2",".","1.7",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","128","2.938","14.8","17.2","32.0","17.2","17.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","22","3.099","50.0","9.1","13.6",".","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","52","3.265","21.2","42.3","19.2","5.8","5.8","3.8",".",".",".",".",".",".","1.9",".",".","."
"Renewable Energy Systems","367","001","22","3.045","9.1","36.4","40.9",".","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","401","001","17","3.471","58.8","11.8","11.8",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","401","005","17","3.647","58.8","35.3",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","","Course Total","34","3.559","58.8","23.5","5.9",".","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","402","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","005","21","3.800","76.2","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"","402","006","9","3.389","66.7",".","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","402","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","83","3.693","74.7","9.6","9.6","2.4","1.2","1.2",".",".",".",".",".",".",".","1.2",".","."
"Energy Resources","411","001","45","3.080","20.0","31.1","15.6","15.6","11.1","4.4",".","2.2",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","17","3.353","29.4","29.4","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","100","3.535","36.0","36.0","25.0","2.0",".",".",".",".",".",".",".",".",".","1.0",".","."
"Air Pollution&Human Health","502","001","129","3.449","22.5","49.6","23.3","2.3","1.6",".",".","0.8",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Culture and Environment","537","001","9","3.167","22.2","33.3","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 151 of 403",""
