"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","152","3.387","39.5","27.6","18.4","6.6","3.3","1.3","2.0","1.3",".",".",".",".",".",".",".","."
"","301
002","31","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","214","3.540","51.9","24.8","13.1","4.7","2.3","0.9","1.4","0.9",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","128","3.715","64.1","21.1","10.2","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","91","3.516","42.9","34.1","11.0","9.9","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","63","3.403","31.7","33.3","20.6","7.9","4.8",".",".","1.6",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","66","3.706","56.1","25.8","12.1",".","1.5",".",".",".",".",".",".",".","1.5","3.0",".","."
"","506
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","506
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","6","3.700","66.7",".",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"Contemp Issues in Ed Psych","Course Total","35","3.955","91.4",".",".","2.9",".",".",".",".",".",".",".",".","2.9",".","2.9","."
"","521
001","27","3.667","40.7","51.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","54","3.722","48.1","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","33","3.894","87.9","6.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
711","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","711
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","68","3.909","85.3","8.8","1.5","1.5",".",".",".","1.5",".",".",".",".","1.5",".",".","."
"Intro to Qualitative Research","719
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Development","720
001","19","3.579","15.8","84.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","001
725","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Developmental Research","731
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","38","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","34","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 92 of 403"
