"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"765","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"765","005","","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"765","031","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","55","4.000","69.1",".",".",".",".",".",".","10.9",".",".",".","20.0",".",".",".","."
"773
Seminar-Arts Administration","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790
Master's Research and Thesis","204","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Reading & Rsch-Management","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"872
Smr-Org Behavior & Design","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
