"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","77","3.675","63.6","11.7","22.1","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","77","3.162","18.2","22.1","44.2","5.2","10.4",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","13","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","21","4.000","47.6",".",".",".",".",".",".","47.6",".",".",".",".","4.8",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"","670
001","37","4.000","10.8",".",".",".",".",".",".","89.2",".",".",".",".",".",".",".","."
"","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","12.8",".",".",".",".",".",".","87.2",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","40","4.000","37.5",".",".",".",".",".",".","50.0",".",".",".",".",".",".","12.5","."
"","675
001","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"","002
675","24","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"","675
003","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".","5.9","."
"","675
005","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
675","16","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"","675
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
026","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","156","4.000","50.6",".",".",".",".",".",".","48.7",".",".",".",".",".",".","0.6","."
"","678
001","41","4.000","53.7",".",".",".",".",".",".","41.5",".",".",".",".",".",".","4.9","."
"","678
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","44","4.000","52.3",".",".",".",".",".",".","43.2",".",".",".",".",".",".","4.5","."
"Small Animal Oncology","679
001","11","4.000","54.5",".",".",".",".",".",".","36.4",".",".",".",".","9.1",".",".","."
"","699
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","26","",".",".",".",".",".",".",".","88.5",".",".",".",".",".",".","11.5","."
"","775
002","18","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"","775
003","11","",".",".",".",".",".",".",".","72.7",".",".",".",".",".",".","27.3","."
"","775
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","59","",".",".",".",".",".",".",".","81.4",".",".",".",".",".",".","18.6","."
