"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"L I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","55","3.832","85.5","9.1","1.8","1.8",".","",".","1.8",".","",".",".","",".",".",".",".",".","."
"Junior","105","3.819","81.9","11.4","1.9","1.0","1.9","",".","1.0",".","",".",".","",".",".",".",".",".","1.0"
"Senior","121","3.775","76.9","9.9","6.6","1.7","2.5","",".","0.8",".","",".",".","",".",".","0.8",".",".","0.8"
"Undergraduates","283","3.802","79.9","11.0","3.9","1.4","1.8","",".","1.1",".","",".",".","",".",".","0.4",".",".","0.7"
"Special","20","3.775","90.0","5.0",".",".",".","",".","5.0",".","",".",".","",".",".",".",".",".","."
"Graduate","653","3.924","86.5","10.6","1.1","0.2","0.5","",".",".","0.5","",".",".","",".","0.2","0.3",".","0.3","."
"Prof Yr 2","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
